CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-19,-22,4294809.11,4294810.311,0.117,17.770,17.770,17.770,"[-8,10,-8,11,-6,11,-8,12,-7,11,-7,11,-7,11,-7,11,-7,12,-6,11,-7,13,-6,13,-6,13,-6,13,-7,13,-5,14,-5,13,-5,13,-5,14,-5,14,-6,14,-5,14,-6,14,-4,14,-5,16,-4,16,0,0,-4,16,-4,16,-4,17,-3,16,-4,17,-4,17,-4,17,-4,17,-4,18,-4,17,-4,18,-5,17,-5,17,-5,18,-5,18,-5,19,-5,19,-5,19,-6,18,-6,18,-7,18,-7,17,-8,17,-8,18,-9,17,-10,17,0,0,6,-14,5,-15,4,-15,6,-16,5,-15,6,-15,5,-15,5,-15,6,-15,5,-15,6,-16,5,-16,5,-16,6,-16,6,-16,5,-17,4,-16,5,-15,5,-16,5,-16,6,-15,5,-16,6,-15,4,-16,6,-16,5,-17,0,0,4,-16,5,-16,4,-17,4,-16,5,-16,5,-16,5,-16,5,-16,4,-16,5,-16,4,-17,4,-15,5,-16,4,-16,4,-16,4,-17,4,-16,4,-16,4,-16,5,-16,6,-16,5,-16,6,-16,6,-16,6,-16,7,-16,0,0]"
CSI_DATA: 2,5,1,1,0,0,0,0,-28,-24,4294810.857,4294812.157,99.442,106.998,106.998,106.998,"[-10,-1,-10,0,-10,1,-11,1,-11,1,-11,2,-11,2,-11,2,-11,3,-11,3,-12,4,-11,5,-11,5,-11,6,-11,5,-11,7,-10,7,-10,7,-10,8,-10,8,-11,9,-10,9,-10,10,-9,11,-10,12,-9,13,0,0,-9,14,-9,15,-9,16,-8,16,-9,17,-9,18,-9,18,-9,18,-9,19,-9,19,-10,21,-11,20,-11,20,-11,21,-11,21,-12,23,-12,22,-13,23,-13,22,-14,21,-15,22,-16,21,-16,21,-16,21,-18,20,-18,19,0,0,13,-1,12,-1,12,-2,13,-2,12,-2,12,-2,12,-3,12,-2,12,-3,11,-4,12,-4,12,-4,12,-5,12,-5,12,-4,11,-6,11,-6,11,-6,11,-6,11,-6,12,-6,11,-7,11,-6,11,-8,12,-8,12,-9,0,0,11,-9,12,-9,12,-10,11,-10,12,-10,13,-10,13,-10,13,-10,13,-10,13,-10,13,-11,13,-10,13,-10,14,-10,14,-10,14,-10,14,-10,14,-9,15,-9,15,-8,16,-8,15,-7,15,-6,16,-7,16,-5,16,-5,0,0]"
CSI_DATA: 3,7,1,1,0,0,0,0,-29,-22,4294806.12,4294807.399,198.564,206.134,206.134,206.134,"[-8,-14,-8,-14,-9,-13,-8,-15,-8,-14,-7,-14,-7,-13,-6,-12,-7,-12,-6,-12,-6,-13,-7,-12,-6,-12,-7,-11,-6,-11,-7,-11,-7,-10,-6,-9,-7,-9,-7,-9,-6,-8,-7,-8,-6,-8,-7,-6,-7,-7,-8,-6,0,0,-7,-5,-8,-5,-9,-4,-8,-4,-9,-4,-9,-3,-9,-3,-9,-3,-10,-2,-10,-2,-11,-1,-11,-1,-12,-1,-13,-1,-12,-1,-14,0,-15,-1,-15,0,-15,-1,-15,-1,-17,-2,-17,-3,-18,-3,-19,-3,-19,-5,-19,-7,0,0,-4,16,-4,16,-2,16,-3,17,-3,17,-3,17,-3,16,-3,16,-3,17,-2,16,-3,18,-2,18,-3,18,-3,18,-3,18,-2,19,-2,18,-3,18,-2,19,-3,19,-4,19,-3,19,-4,18,-2,19,-3,20,-3,20,0,0,-3,19,-3,19,-3,20,-3,19,-4,19,-4,19,-5,19,-5,18,-5,18,-5,17,-5,18,-5,16,-5,16,-5,16,-5,16,-5,17,-4,16,-5,15,-5,15,-4,14,-5,14,-4,14,-5,13,-4,14,-5,13,-5,13,0,0]"
CSI_DATA: 4,3,2,2,1,1,1,0,-19,-22,236.471,243.688,17.253,411.589,205.455,18.758,"[-2,-12,-3,-12,-3,-11,-3,-13,-3,-12,-4,-12,-4,-12,-4,-12,-4,-12,-5,-12,-5,-13,-6,-12,-6,-13,-6,-13,-6,-13,-7,-13,-7,-13,-6,-13,-7,-13,-7,-13,-7,-13,-8,-13,-7,-13,-9,-13,-9,-14,-9,-14,0,0,-9,-14,-9,-14,-10,-14,-10,-14,-10,-15,-10,-15,-10,-15,-10,-15,-10,-15,-10,-15,-11,-15,-10,-16,-10,-16,-11,-16,-10,-16,-11,-17,-11,-17,-10,-17,-10,-17,-9,-17,-9,-18,-9,-18,-9,-18,-9,-18,-8,-19,-8,-19,0,0,-15,-1,-15,-1,-15,0,-16,-1,-15,0,-15,-1,-15,-1,-15,-1,-15,-1,-15,0,-16,0,-16,0,-15,0,-15,0,-15,-1,-16,0,-15,1,-14,0,-14,1,-15,0,-15,0,-15,1,-15,0,-14,2,-15,1,-15,1,0,0,-14,2,-15,2,-15,2,-15,2,-15,2,-15,2,-15,2,-15,2,-15,2,-15,2,-16,2,-15,2,-15,2,-15,2,-16,2,-16,3,-16,3,-16,2,-16,2,-16,1,-17,1,-16,1,-17,0,-17,1,-17,-1,-17,-1,0,0]"
CSI_DATA: 5,4,2,2,1,1,1,0,-22,-25,236.389,243.606,60.965,470.555,264.421,77.724,"[-9,5,-9,5,-8,6,-9,6,-9,6,-9,6,-8,6,-8,6,-8,6,-8,7,-8,8,-8,8,-8,8,-8,8,-8,8,-7,9,-7,8,-7,8,-7,9,-7,9,-7,9,-7,9,-7,9,-6,10,-7,10,-6,10,0,0,-5,10,-6,11,-5,11,-4,11,-5,11,-5,12,-5,12,-4,12,-4,13,-4,13,-3,14,-4,13,-4,14,-4,15,-4,15,-4,16,-4,16,-5,16,-5,17,-5,16,-7,17,-7,16,-8,17,-8,17,-10,17,-10,16,0,0,-1,-14,-2,-14,-3,-14,-2,-15,-2,-14,-2,-14,-2,-14,-2,-13,-2,-13,-3,-13,-3,-14,-4,-13,-4,-13,-4,-13,-3,-13,-5,-13,-5,-12,-5,-12,-5,-12,-5,-12,-5,-12,-6,-12,-5,-12,-7,-11,-6,-12,-7,-12,0,0,-8,-11,-8,-12,-9,-12,-9,-12,-8,-12,-9,-12,-9,-13,-9,-12,-10,-13,-9,-13,-10,-14,-9,-13,-9,-13,-9,-14,-10,-15,-10,-15,-10,-15,-9,-15,-8,-15,-8,-16,-7,-16,-6,-16,-6,-16,-6,-16,-5,-17,-5,-16,0,0]"
CSI_DATA: 6,5,2,2,1,1,1,0,-28,-25,238.311,245.529,112.696,536.767,330.633,143.936,"[6,7,6,7,7,6,8,7,7,7,7,6,7,6,8,6,8,7,8,6,9,6,9,5,9,6,9,6,9,6,10,5,9,4,10,5,10,4,10,5,10,4,11,4,10,4,11,2,12,3,12,2,0,0,12,2,13,2,14,1,13,1,13,1,15,1,14,1,14,1,15,1,15,1,16,0,16,1,16,1,17,1,17,2,17,1,18,2,17,2,17,3,17,3,18,4,18,5,18,5,18,5,18,6,17,7,0,0,-4,-13,-5,-12,-5,-12,-5,-13,-5,-12,-5,-12,-5,-12,-5,-11,-5,-11,-6,-11,-6,-11,-7,-10,-7,-10,-7,-10,-7,-10,-8,-10,-8,-9,-8,-9,-9,-8,-9,-8,-9,-9,-9,-8,-9,-8,-10,-7,-11,-8,-11,-8,0,0,-11,-8,-13,-8,-13,-7,-13,-7,-13,-7,-13,-8,-13,-8,-13,-8,-14,-8,-14,-8,-15,-9,-14,-8,-14,-9,-14,-9,-15,-9,-15,-10,-15,-10,-14,-10,-14,-11,-13,-11,-14,-12,-14,-12,-13,-12,-13,-12,-12,-14,-11,-14,0,0]"
CSI_DATA: 7,6,1,1,1,1,1,0,-21,-23,235.55,242.272,160.835,599.132,392.998,206.301,"[-18,3,-18,4,-17,5,-19,4,-17,3,-18,3,-17,3,-16,2,-17,2,-16,3,-17,2,-17,3,-16,3,-16,3,-16,2,-16,3,-15,3,-15,3,-15,4,-15,3,-15,2,-16,3,-15,2,-15,3,-16,3,-15,3,0,0,-15,3,-15,3,-15,3,-14,3,-15,3,-14,3,-14,3,-14,3,-14,3,-13,3,-14,4,-13,3,-13,3,-14,4,-13,4,-14,4,-13,4,-14,5,-13,4,-13,4,-14,4,-14,4,-15,4,-15,5,-16,3,-16,3,0,0,-14,-3,-13,-2,-13,-1,-13,-2,-13,-1,-12,-1,-13,-1,-12,0,-12,0,-12,1,-13,0,-12,1,-12,1,-11,1,-11,1,-12,3,-11,2,-11,2,-11,3,-11,3,-11,3,-10,4,-11,4,-10,4,-10,5,-10,5,0,0,-10,5,-10,6,-10,6,-10,7,-10,7,-10,8,-10,8,-10,9,-10,9,-10,10,-11,10,-11,9,-11,9,-11,10,-12,11,-13,11,-13,11,-14,11,-14,11,-15,10,-16,11,-15,10,-17,9,-17,9,-18,8,-19,7,0,0]"
CSI_DATA: 8,7,2,2,1,1,1,0,-30,-23,233.564,240.781,211.552,663.836,457.702,271.05,"[-9,-15,-10,-15,-10,-14,-10,-16,-9,-15,-8,-15,-8,-14,-7,-13,-7,-14,-7,-12,-7,-14,-8,-13,-7,-13,-7,-12,-6,-12,-7,-12,-7,-10,-6,-10,-7,-9,-6,-10,-6,-9,-6,-8,-6,-8,-7,-7,-7,-7,-7,-7,0,0,-7,-6,-7,-6,-8,-5,-7,-4,-7,-5,-8,-4,-8,-3,-8,-3,-9,-3,-9,-2,-10,-2,-9,-2,-10,-2,-11,-1,-11,-1,-12,-1,-12,-1,-13,-1,-13,-1,-14,-1,-15,-2,-15,-3,-16,-3,-17,-3,-17,-5,-17,-6,0,0,-11,12,-10,12,-9,13,-11,13,-10,12,-10,12,-10,12,-10,12,-10,12,-9,12,-10,13,-10,13,-10,13,-10,13,-11,12,-11,14,-10,13,-10,13,-10,13,-11,13,-11,13,-11,13,-11,12,-10,13,-12,13,-11,13,0,0,-11,13,-12,13,-11,13,-11,13,-11,12,-11,12,-11,11,-11,11,-11,11,-11,10,-11,11,-10,9,-10,9,-10,9,-10,10,-10,10,-9,10,-9,10,-9,9,-8,9,-9,9,-8,9,-9,10,-8,10,-9,10,-9,10,0,0]"
CSI_DATA: 9,3,3,3,2,2,2,0,-21,-22,628.522,629.679,13.63,797.525,133.689,14.666,"[-11,5,-11,6,-10,7,-11,7,-11,7,-11,7,-10,8,-10,8,-10,8,-9,9,-11,10,-10,10,-10,10,-10,10,-11,11,-10,11,-10,11,-10,11,-10,12,-11,12,-11,12,-11,12,-11,11,-10,13,-11,13,-11,14,0,0,-10,14,-11,14,-12,15,-10,14,-12,15,-12,15,-12,15,-12,15,-12,15,-11,14,-12,16,-13,14,-13,14,-13,15,-13,14,-14,15,-14,15,-14,15,-14,14,-14,14,-15,14,-15,13,-15,13,-15,13,-16,12,-16,12,0,0,4,-16,3,-16,3,-16,4,-17,3,-16,4,-16,3,-16,3,-16,3,-16,3,-16,4,-17,3,-17,3,-17,3,-16,4,-16,3,-17,2,-16,3,-16,3,-17,3,-16,4,-17,3,-16,4,-16,3,-17,4,-17,3,-17,0,0,3,-16,3,-17,2,-17,2,-17,3,-17,3,-17,3,-17,3,-16,3,-16,3,-17,3,-18,3,-16,3,-16,3,-16,3,-17,3,-17,3,-17,4,-17,4,-17,4,-16,4,-17,4,-16,5,-16,5,-17,6,-17,6,-17,0,0]"
CSI_DATA: 10,4,3,3,2,2,2,0,-23,-25,628.441,629.598,60.778,853.290,189.454,70.431,"[-1,-9,-2,-10,-2,-9,-2,-11,-2,-10,-3,-10,-3,-10,-3,-10,-3,-10,-4,-10,-4,-11,-5,-11,-5,-11,-5,-11,-5,-11,-6,-11,-6,-10,-5,-11,-6,-10,-6,-11,-6,-11,-6,-10,-6,-11,-8,-10,-8,-11,-9,-11,0,0,-9,-10,-9,-11,-10,-11,-10,-10,-10,-11,-10,-11,-10,-11,-11,-11,-11,-11,-11,-11,-13,-12,-12,-12,-12,-12,-13,-12,-12,-13,-13,-13,-13,-14,-13,-14,-13,-15,-12,-15,-12,-16,-11,-16,-11,-17,-12,-17,-10,-18,-10,-18,0,0,-13,4,-13,4,-13,6,-14,5,-13,6,-14,5,-14,5,-13,5,-13,6,-12,6,-14,6,-13,6,-13,7,-13,7,-13,6,-13,8,-11,7,-12,7,-12,8,-12,8,-12,8,-11,8,-11,7,-11,9,-11,9,-11,9,0,0,-10,10,-10,10,-10,11,-10,11,-10,11,-10,12,-10,12,-10,12,-10,12,-10,12,-11,13,-11,12,-11,12,-11,13,-11,13,-12,13,-12,13,-13,13,-13,13,-13,12,-14,11,-13,11,-14,11,-15,11,-15,9,-15,8,0,0]"
