CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-23,-19,4294811.465,4294812.109,0.117,19.993,19.993,19.993,"[5,-10,5,-11,4,-11,5,-12,5,-12,4,-12,4,-12,4,-12,4,-12,3,-12,3,-13,3,-13,3,-14,2,-14,3,-14,2,-14,1,-14,1,-14,1,-14,2,-14,2,-15,1,-15,1,-14,-1,-15,0,-16,-1,-17,0,0,-1,-16,-1,-17,-2,-18,-2,-17,-1,-18,-1,-19,-1,-20,-1,-19,-1,-20,-1,-19,-2,-21,0,-20,0,-20,0,-21,0,-20,0,-21,0,-21,1,-21,2,-21,2,-20,3,-20,3,-20,4,-20,2,-21,4,-20,4,-20,0,0,16,-7,16,-7,15,-7,17,-7,16,-7,16,-7,16,-7,15,-7,16,-6,15,-7,16,-7,16,-7,15,-7,15,-7,15,-6,15,-8,14,-8,14,-7,14,-8,14,-8,15,-7,14,-8,14,-7,13,-9,15,-9,14,-10,0,0,14,-10,14,-10,14,-10,14,-10,14,-10,15,-10,15,-10,14,-9,15,-10,14,-9,15,-10,14,-9,14,-9,15,-9,14,-9,15,-9,14,-9,15,-8,14,-8,14,-7,15,-7,14,-7,14,-6,14,-7,14,-6,14,-6,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-21,-30,4294812.517,4294813.201,41.629,85.625,85.625,85.625,"[-5,-10,-5,-10,-6,-9,-7,-10,-7,-10,-7,-10,-8,-10,-8,-9,-8,-9,-8,-9,-10,-10,-10,-9,-11,-9,-11,-9,-11,-10,-12,-9,-12,-8,-11,-8,-13,-8,-13,-9,-12,-9,-13,-8,-13,-8,-15,-7,-15,-8,-16,-7,0,0,-16,-7,-17,-7,-18,-7,-17,-7,-18,-7,-18,-8,-18,-8,-18,-7,-19,-7,-19,-7,-21,-6,-20,-7,-20,-7,-21,-7,-21,-8,-22,-8,-22,-8,-22,-9,-22,-10,-21,-10,-22,-11,-21,-12,-22,-12,-23,-12,-21,-14,-21,-14,0,0,-9,3,-8,4,-7,5,-8,5,-8,6,-8,6,-7,6,-7,7,-7,7,-7,8,-7,9,-6,9,-6,10,-6,10,-7,11,-6,12,-5,12,-6,12,-5,13,-6,13,-6,13,-6,14,-6,14,-4,15,-5,16,-5,17,0,0,-5,17,-5,17,-5,18,-4,18,-5,17,-5,19,-6,18,-5,18,-5,19,-5,19,-4,20,-5,19,-4,20,-5,20,-5,21,-4,21,-4,22,-5,22,-6,22,-7,21,-8,22,-8,21,-9,22,-8,23,-11,22,-12,22,0,0]"
CSI_DATA: 3,6,1,1,0,0,0,0,-30,-23,4294810.272,4294810.909,141.340,153.395,153.395,153.395,"[8,-18,7,-18,6,-19,8,-20,7,-18,7,-19,7,-18,7,-17,7,-17,6,-17,6,-19,5,-18,6,-18,5,-18,6,-17,4,-18,4,-17,4,-16,4,-17,5,-16,5,-16,4,-16,4,-15,2,-16,3,-16,3,-16,0,0,2,-15,3,-14,2,-15,2,-13,3,-14,3,-13,3,-13,3,-12,3,-12,3,-11,2,-11,3,-10,3,-10,3,-9,3,-8,4,-8,3,-7,4,-6,4,-5,4,-4,3,-3,3,-2,3,-1,3,-1,2,0,2,1,0,0,15,3,15,3,15,2,16,3,14,3,14,3,14,3,14,3,13,3,13,2,14,3,13,2,13,2,13,2,12,3,13,2,12,1,12,2,11,1,11,2,11,2,11,2,11,1,11,0,12,1,12,0,0,0,11,0,11,1,11,0,11,0,11,0,11,0,11,0,11,0,12,0,11,-1,12,-1,11,0,11,0,11,0,11,1,12,0,11,0,11,0,12,1,11,1,11,1,10,2,10,2,10,1,11,2,11,2,0,0]"
CSI_DATA: 4,7,1,1,0,0,0,0,-25,-21,4294805.641,4294806.294,197.904,211.724,211.724,211.724,"[-13,3,-13,4,-12,4,-13,3,-12,3,-12,3,-12,3,-11,3,-11,2,-10,3,-10,3,-10,4,-9,4,-9,4,-9,3,-8,4,-8,4,-7,4,-7,5,-7,4,-7,5,-7,5,-6,4,-6,6,-6,6,-6,6,0,0,-5,6,-5,7,-5,7,-4,7,-4,7,-4,8,-4,8,-4,9,-4,9,-3,9,-3,10,-3,10,-3,11,-3,12,-4,11,-4,13,-4,13,-4,14,-5,13,-6,14,-6,14,-7,14,-8,15,-8,16,-9,14,-10,14,0,0,-15,-3,-15,-3,-14,-2,-15,-3,-15,-3,-14,-3,-14,-3,-13,-3,-14,-3,-13,-2,-14,-2,-14,-1,-14,-2,-14,-1,-13,-2,-14,-1,-13,-1,-13,-1,-13,-1,-13,-1,-13,-2,-14,-1,-13,-1,-13,0,-14,0,-14,0,0,0,-14,0,-14,0,-15,0,-14,0,-14,-1,-14,-1,-14,-1,-14,0,-14,0,-13,0,-14,1,-13,0,-13,0,-14,0,-14,0,-14,0,-14,0,-14,0,-14,-1,-14,-1,-14,-1,-14,-2,-15,-2,-15,-2,-15,-3,-15,-3,0,0]"
CSI_DATA: 5,3,2,2,1,1,1,0,-24,-19,235.712,240.228,14.509,410.667,198.943,16.51,"[11,1,12,0,11,-1,12,0,11,0,12,-1,12,-1,11,-1,12,-1,11,-2,13,-2,13,-3,12,-3,13,-3,13,-3,13,-4,12,-4,12,-4,13,-4,13,-4,13,-4,13,-5,13,-4,13,-6,14,-7,14,-7,0,0,14,-8,15,-8,16,-9,14,-8,16,-8,16,-8,17,-8,17,-8,17,-8,16,-8,18,-10,17,-8,18,-8,19,-8,18,-7,19,-8,19,-8,19,-7,19,-6,18,-5,19,-5,19,-4,19,-5,20,-6,19,-4,19,-4,0,0,14,10,14,10,14,9,15,10,14,10,14,10,14,10,13,9,13,10,13,9,14,9,14,9,14,9,14,9,13,10,14,8,14,7,13,8,14,8,14,8,13,9,13,8,13,8,14,6,15,8,15,7,0,0,15,7,15,7,15,7,15,7,15,7,15,8,15,8,14,8,15,8,15,8,16,8,14,8,14,8,14,8,14,8,14,9,14,8,14,9,14,9,13,9,12,9,12,9,12,9,12,9,11,10,11,10,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-21,-30,236.780,241.297,56.141,458.690,246.966,64.74,"[8,-2,9,-2,8,-3,9,-4,8,-4,9,-4,9,-4,9,-4,9,-5,9,-5,9,-6,9,-7,9,-7,9,-7,10,-7,9,-8,9,-8,9,-8,9,-9,9,-9,10,-9,9,-9,9,-9,8,-11,9,-11,9,-12,0,0,9,-12,9,-13,9,-13,8,-13,9,-13,10,-14,10,-14,10,-13,10,-14,9,-14,9,-16,10,-15,10,-15,11,-16,10,-16,11,-16,11,-17,11,-17,12,-16,12,-15,13,-16,14,-15,15,-16,15,-16,15,-15,16,-14,0,0,-1,-8,-2,-8,-3,-8,-3,-9,-4,-8,-4,-8,-4,-8,-5,-8,-5,-8,-6,-8,-7,-8,-8,-8,-8,-8,-8,-8,-8,-9,-10,-8,-10,-8,-10,-8,-11,-8,-11,-8,-11,-9,-12,-8,-11,-9,-13,-8,-13,-9,-14,-8,0,0,-14,-8,-15,-9,-15,-9,-15,-8,-15,-9,-15,-9,-15,-9,-15,-9,-16,-9,-16,-8,-18,-8,-16,-9,-17,-9,-18,-9,-17,-9,-19,-9,-18,-9,-19,-9,-18,-10,-18,-11,-18,-12,-18,-12,-18,-13,-19,-13,-18,-14,-17,-15,0,0]"
CSI_DATA: 7,5,2,2,0,1,1,0,-36,-25,156776.451,240.983,114.526,525.443,313.719,130.827,"[3,10,3,10,4,9,3,11,3,10,3,10,2,9,2,9,2,8,2,8,2,9,2,8,2,8,2,8,2,8,2,8,2,7,2,7,2,7,1,8,1,7,1,7,1,7,2,7,1,7,2,7,0,0,2,7,1,7,2,8,2,8,2,8,2,9,2,9,2,9,2,9,2,9,3,10,2,9,2,10,2,10,2,10,2,11,2,11,2,11,1,11,1,11,1,11,2,11,2,12,3,12,2,12,2,12,0,0,2,11,2,11,3,10,2,12,3,11,2,11,2,11,3,10,3,10,3,9,3,10,4,9,4,9,4,9,4,9,5,9,5,8,4,8,5,8,5,9,5,9,5,8,5,8,7,8,6,8,7,8,0,0,7,8,7,8,7,8,7,8,7,8,7,9,7,9,8,9,8,9,8,9,9,9,8,9,8,9,8,9,7,10,8,10,7,10,7,11,7,11,6,11,6,11,5,11,5,11,5,11,3,11,3,11,0,0]"
CSI_DATA: 8,7,2,2,1,1,1,0,-25,-21,229.897,234.414,212.288,608.438,396.714,213.822,"[-6,13,-6,13,-5,13,-6,13,-6,12,-5,12,-6,11,-5,10,-5,10,-4,10,-4,10,-3,10,-3,10,-3,10,-3,10,-2,9,-2,9,-1,9,0,9,-1,9,-1,9,0,9,0,8,2,8,1,9,2,9,0,0,2,8,3,8,3,9,4,7,4,8,4,9,5,9,5,9,6,9,6,8,8,9,7,9,8,9,9,10,8,10,9,11,10,11,10,12,9,12,9,13,9,14,9,15,8,15,9,16,8,17,7,18,0,0,-11,10,-11,10,-10,10,-11,10,-10,9,-11,9,-11,9,-10,9,-10,9,-9,9,-10,10,-9,10,-9,10,-9,10,-9,9,-9,10,-8,10,-8,10,-8,10,-9,10,-9,9,-9,10,-9,9,-7,10,-9,10,-8,11,0,0,-8,11,-8,11,-8,11,-8,11,-9,10,-9,11,-9,10,-9,10,-9,10,-8,10,-8,11,-8,10,-8,10,-8,10,-8,10,-9,11,-8,10,-9,11,-9,10,-9,10,-10,10,-10,9,-10,9,-10,10,-11,9,-11,9,0,0]"
CSI_DATA: 9,3,3,3,2,2,2,0,-23,-19,625.739,630.167,14.336,800.909,192.471,16.260,"[-6,10,-5,10,-4,11,-5,11,-5,11,-5,11,-4,12,-4,11,-4,11,-3,11,-3,13,-3,12,-3,13,-2,13,-3,13,-1,13,-1,13,-1,13,0,13,-1,14,-1,14,0,14,0,13,2,14,1,15,2,16,0,0,3,15,3,16,3,17,4,16,3,17,3,18,3,18,3,18,3,18,3,18,4,20,2,19,3,19,3,20,2,19,3,20,3,21,2,20,1,20,1,20,0,20,0,19,0,19,1,20,-1,19,-2,20,0,0,-18,2,-17,2,-17,3,-19,2,-18,2,-18,2,-18,2,-17,1,-17,2,-17,2,-18,2,-17,3,-17,2,-17,2,-17,1,-18,3,-16,3,-16,3,-16,3,-17,3,-17,2,-16,3,-16,2,-16,4,-17,4,-17,5,0,0,-16,4,-17,5,-17,5,-17,5,-17,4,-18,4,-17,4,-17,3,-17,4,-17,4,-18,4,-17,3,-17,3,-17,3,-17,3,-17,3,-18,3,-16,3,-17,2,-16,1,-17,1,-16,1,-16,1,-16,1,-16,0,-16,0,0,0]"
CSI_DATA: 10,4,3,3,2,2,2,0,-21,-30,626.808,631.236,56.27,850.321,241.883,65.672,"[4,9,4,9,5,8,6,9,6,9,6,9,7,9,7,8,7,9,7,8,9,9,9,8,9,8,9,8,9,9,11,8,10,7,10,7,11,7,12,7,12,8,12,7,11,8,13,6,14,7,15,7,0,0,15,6,15,7,16,6,16,6,16,7,17,7,17,6,17,6,17,6,17,6,19,6,18,7,18,7,19,6,19,7,20,7,21,7,21,8,21,8,20,9,20,10,20,10,20,11,21,11,19,13,19,13,0,0,-8,0,-8,0,-8,2,-8,2,-8,2,-8,3,-8,3,-8,3,-8,4,-7,5,-8,6,-8,6,-8,6,-8,7,-8,6,-8,9,-7,8,-8,9,-7,9,-9,10,-9,9,-8,10,-9,10,-8,11,-9,12,-8,13,0,0,-8,13,-8,13,-8,13,-8,14,-8,14,-9,14,-9,14,-9,14,-9,15,-8,15,-8,17,-8,15,-8,15,-9,15,-9,17,-9,17,-10,18,-10,17,-10,17,-11,17,-12,17,-12,16,-13,17,-13,17,-14,16,-15,16,0,0]"
