CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-23,-25,4294809.185,4294814.164,0.117,20.261,20.261,20.261,"[3,13,3,13,4,12,4,13,4,13,4,13,5,13,5,12,4,13,5,12,6,13,6,13,7,13,7,13,7,13,8,13,8,12,8,12,9,12,8,13,8,14,9,13,8,13,10,12,10,14,11,14,0,0,11,14,11,14,12,14,12,14,12,15,12,15,12,15,12,15,13,16,12,15,14,16,12,16,12,16,13,17,12,17,13,17,13,17,12,18,12,18,11,18,10,19,10,19,10,19,10,19,8,20,8,20,0,0,-17,4,-17,4,-17,5,-18,4,-18,4,-17,4,-18,3,-17,3,-17,3,-17,4,-18,4,-17,5,-17,4,-17,4,-17,3,-18,5,-16,4,-16,4,-16,4,-17,4,-16,3,-16,4,-16,3,-16,6,-17,5,-16,6,0,0,-15,5,-16,6,-15,6,-15,6,-15,6,-16,6,-15,6,-15,6,-16,7,-15,7,-16,8,-15,7,-15,7,-15,7,-16,7,-16,7,-17,8,-17,7,-17,7,-17,6,-17,5,-17,5,-17,5,-17,6,-17,4,-17,4,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-23,-30,4294804.144,4294809.123,41.513,81.784,81.784,81.784,"[7,6,7,6,8,5,8,5,8,5,8,4,8,4,8,4,8,4,8,2,9,3,9,2,9,2,10,2,10,2,11,1,10,0,10,0,11,0,11,0,11,0,12,0,11,0,12,-2,13,-1,13,-2,0,0,13,-2,14,-2,14,-3,13,-3,14,-3,14,-3,15,-3,15,-3,15,-3,15,-4,16,-5,16,-4,16,-4,17,-4,17,-4,18,-4,18,-4,18,-4,19,-3,19,-3,20,-2,20,-1,20,0,21,-1,21,1,21,1,0,0,-10,2,-10,3,-10,4,-12,4,-12,4,-12,4,-13,3,-13,3,-13,4,-13,4,-15,5,-14,6,-14,5,-15,5,-15,4,-15,6,-15,6,-15,6,-15,6,-16,6,-16,5,-16,6,-16,6,-15,8,-16,8,-16,9,0,0,-15,8,-16,9,-15,10,-14,10,-15,10,-15,11,-15,11,-15,12,-15,13,-14,14,-14,16,-14,14,-14,15,-15,17,-16,17,-16,19,-16,19,-17,20,-19,19,-19,19,-21,20,-21,19,-23,19,-23,21,-25,19,-26,18,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-31,-30,4294806.779,4294811.758,99.335,144.25,144.25,144.25,"[-4,-18,-5,-18,-7,-17,-6,-18,-6,-17,-7,-17,-7,-16,-7,-15,-8,-16,-9,-15,-9,-16,-10,-15,-10,-15,-10,-15,-10,-15,-11,-15,-10,-14,-10,-14,-11,-13,-10,-13,-10,-14,-10,-13,-10,-13,-11,-12,-11,-13,-11,-13,0,0,-11,-12,-11,-12,-11,-12,-10,-12,-9,-13,-9,-13,-9,-13,-8,-12,-7,-13,-7,-12,-7,-13,-6,-12,-5,-12,-5,-12,-4,-12,-4,-13,-3,-12,-2,-12,-2,-12,-1,-12,0,-12,0,-11,0,-11,1,-11,2,-10,3,-10,0,0,-15,-7,-14,-6,-14,-6,-14,-7,-14,-6,-13,-6,-12,-7,-11,-6,-11,-6,-11,-5,-11,-5,-11,-5,-11,-4,-11,-4,-10,-4,-10,-4,-9,-3,-9,-3,-9,-3,-10,-3,-10,-3,-10,-2,-10,-3,-10,-1,-11,-1,-11,-1,0,0,-11,-1,-11,-2,-11,-1,-11,-2,-11,-2,-12,-2,-11,-3,-11,-2,-11,-2,-11,-2,-11,-2,-11,-3,-11,-3,-10,-3,-10,-3,-10,-3,-11,-3,-9,-3,-9,-4,-9,-4,-9,-4,-9,-5,-8,-4,-9,-4,-8,-4,-8,-4,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-26,-20,4294808.844,4294813.824,141.589,216.797,216.797,216.797,"[16,-7,16,-8,16,-9,17,-8,15,-8,16,-9,15,-9,14,-9,14,-9,14,-9,15,-11,14,-11,15,-12,14,-12,15,-11,14,-14,14,-13,14,-12,14,-13,15,-13,16,-12,15,-13,15,-12,14,-14,16,-13,16,-14,0,0,16,-12,16,-12,16,-12,15,-12,16,-11,16,-10,16,-9,15,-9,15,-8,14,-8,15,-8,14,-6,13,-6,13,-6,12,-5,12,-5,12,-4,11,-4,11,-2,10,-2,9,-1,9,-1,8,0,7,-1,7,0,6,0,0,0,-4,11,-3,11,-2,11,-3,11,-3,12,-3,11,-3,11,-3,11,-3,11,-2,11,-2,12,-1,11,-1,11,-1,11,-2,11,-1,12,0,11,0,11,0,11,-1,11,0,11,0,11,0,11,2,11,1,12,2,12,0,0,2,12,2,12,3,12,3,12,3,12,2,13,2,13,3,13,2,13,3,14,3,14,3,14,2,14,2,14,2,15,2,15,3,16,1,16,1,16,1,16,0,17,0,16,-1,17,0,17,-2,17,-3,17,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-23,-22,4294804.451,4294809.422,199.153,279.24,279.24,279.24,"[-14,-2,-14,-2,-14,-1,-14,-2,-13,-2,-13,-2,-13,-2,-13,-2,-12,-2,-12,-1,-13,-2,-12,-1,-12,-1,-12,-1,-11,-1,-12,0,-11,0,-11,0,-11,0,-11,0,-10,0,-10,1,-10,0,-10,2,-10,1,-10,2,0,0,-10,3,-10,3,-10,3,-9,4,-9,4,-10,4,-10,4,-9,4,-10,5,-10,5,-10,6,-10,5,-10,6,-11,6,-11,7,-12,7,-12,8,-13,7,-13,7,-13,7,-14,6,-14,6,-15,6,-15,7,-16,5,-17,5,0,0,-7,-16,-7,-15,-8,-15,-7,-16,-7,-15,-7,-15,-6,-15,-6,-15,-6,-15,-6,-14,-7,-15,-7,-14,-7,-14,-6,-14,-5,-14,-7,-15,-6,-14,-6,-14,-6,-13,-5,-14,-5,-14,-5,-14,-4,-14,-6,-13,-5,-14,-6,-14,0,0,-5,-13,-5,-14,-5,-13,-5,-13,-4,-12,-5,-13,-4,-12,-4,-12,-4,-12,-4,-11,-4,-12,-4,-11,-4,-11,-4,-10,-4,-11,-4,-10,-5,-10,-5,-10,-4,-10,-4,-10,-5,-10,-5,-10,-5,-10,-6,-10,-5,-10,-5,-11,0,0]"
CSI_DATA: 6,3,2,2,2,1,2,0,-23,-25,625.369,631.610,16.189,803.184,524.160,17.949,"[-4,11,-3,11,-2,11,-3,12,-3,11,-2,12,-2,12,-2,11,-2,12,-1,11,-1,13,-1,13,0,12,0,13,-1,13,1,13,1,12,1,12,2,13,1,13,1,14,2,14,1,14,3,14,3,15,3,15,0,0,4,15,4,15,5,15,5,15,4,16,4,16,5,16,4,16,4,17,5,17,6,18,4,17,4,17,4,18,4,18,5,18,4,19,4,19,4,19,3,18,2,19,2,18,1,19,2,19,0,19,0,19,0,0,-17,2,-17,3,-17,3,-18,2,-17,2,-18,2,-17,2,-17,1,-17,1,-17,2,-18,2,-18,2,-17,3,-17,2,-17,1,-18,3,-17,3,-16,2,-16,3,-17,2,-17,2,-16,2,-16,2,-16,4,-17,3,-16,4,0,0,-16,4,-16,4,-16,4,-15,5,-16,4,-16,4,-16,4,-15,4,-16,5,-16,5,-17,6,-16,5,-16,5,-16,5,-16,5,-17,6,-17,6,-17,5,-17,5,-17,4,-18,4,-17,4,-17,4,-18,4,-17,3,-17,3,0,0]"
CSI_DATA: 7,4,2,2,2,1,2,0,-23,-30,620.329,626.571,57.656,851.814,572.790,66.579,"[-1,10,-1,9,0,9,0,10,0,9,1,9,1,9,1,9,2,9,2,8,3,10,3,9,4,9,4,9,4,9,5,9,5,8,5,8,6,9,6,9,6,9,7,9,6,9,8,8,8,9,9,9,0,0,9,9,9,9,10,9,10,8,10,9,11,9,11,9,11,9,11,9,11,9,13,10,12,10,12,10,13,10,13,10,14,11,15,11,14,11,14,12,14,13,13,14,13,14,13,15,14,15,12,17,12,17,0,0,-10,3,-10,3,-10,4,-11,4,-11,4,-12,4,-13,4,-12,4,-13,5,-13,5,-14,6,-14,6,-14,6,-14,6,-14,5,-15,7,-14,7,-14,7,-14,8,-15,7,-15,7,-15,8,-15,7,-14,9,-15,9,-14,10,0,0,-13,10,-14,11,-14,11,-13,12,-13,12,-13,13,-13,13,-12,13,-12,15,-12,15,-12,17,-11,16,-12,17,-12,18,-12,19,-12,21,-13,22,-14,22,-15,23,-15,22,-17,23,-17,22,-19,23,-19,24,-21,22,-22,22,0,0]"
CSI_DATA: 8,5,2,2,2,1,2,0,-31,-30,622.951,629.193,115.492,912.144,633.120,126.909,"[13,-12,11,-13,10,-14,12,-14,10,-14,11,-14,10,-14,9,-14,9,-14,8,-15,9,-16,8,-16,8,-16,7,-16,8,-15,7,-17,6,-16,6,-15,6,-15,6,-15,7,-15,6,-15,6,-15,5,-15,6,-16,6,-16,0,0,5,-15,6,-15,6,-15,5,-14,6,-13,7,-13,7,-13,7,-12,7,-12,7,-12,8,-12,8,-10,8,-10,8,-10,8,-9,9,-9,9,-8,9,-7,9,-7,9,-6,9,-5,9,-4,9,-4,9,-3,9,-2,9,-2,0,0,13,-3,13,-3,12,-3,13,-3,12,-3,12,-2,11,-2,10,-2,10,-2,9,-2,10,-3,9,-3,9,-3,8,-3,8,-2,8,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-4,6,-4,6,-5,7,-5,7,-5,0,0,7,-6,7,-5,7,-6,7,-6,7,-5,8,-5,8,-5,7,-5,7,-5,7,-5,8,-6,7,-5,7,-5,7,-5,7,-4,7,-5,7,-4,7,-4,7,-4,7,-4,7,-4,7,-3,7,-3,7,-3,7,-3,7,-3,0,0]"
CSI_DATA: 9,6,2,2,2,1,2,0,-26,-21,625.30,631.272,157.731,971.344,692.320,186.109,"[-17,8,-16,9,-15,10,-16,10,-15,9,-16,10,-15,10,-14,10,-14,11,-14,11,-14,12,-14,13,-14,13,-13,13,-15,13,-13,15,-12,14,-13,14,-13,15,-14,15,-14,15,-13,16,-14,14,-13,16,-15,16,-14,16,0,0,-14,14,-14,15,-14,15,-14,13,-14,13,-14,14,-14,12,-14,11,-14,11,-13,10,-13,11,-13,8,-13,8,-13,8,-12,8,-11,8,-11,7,-11,6,-11,5,-10,4,-10,3,-9,3,-9,2,-8,2,-8,1,-7,0,0,0,12,-5,11,-5,11,-6,12,-5,11,-6,12,-6,12,-6,11,-6,11,-6,10,-6,12,-7,11,-7,11,-7,10,-7,10,-7,10,-8,9,-8,10,-8,9,-8,9,-8,10,-8,9,-9,9,-9,8,-10,9,-10,9,-11,0,0,8,-11,8,-12,8,-11,8,-12,9,-12,9,-12,9,-12,9,-12,9,-13,9,-13,10,-15,9,-13,9,-13,10,-14,10,-14,11,-15,11,-14,11,-15,12,-15,12,-14,13,-14,12,-13,13,-13,14,-14,15,-12,16,-12,0,0]"
CSI_DATA: 10,7,2,2,2,1,2,0,-23,-22,620.630,626.872,215.297,1037.868,758.844,252.633,"[-15,-5,-15,-5,-15,-4,-15,-5,-14,-5,-14,-5,-14,-5,-13,-5,-14,-5,-13,-4,-14,-4,-13,-4,-13,-4,-13,-3,-13,-4,-13,-3,-12,-2,-11,-2,-12,-2,-12,-2,-12,-2,-11,-1,-11,-1,-11,0,-12,-1,-12,0,0,0,-11,1,-11,1,-12,2,-11,3,-11,2,-12,3,-11,3,-11,3,-12,4,-12,4,-12,5,-12,4,-13,5,-13,6,-13,6,-14,7,-15,7,-16,6,-16,6,-16,6,-17,5,-17,4,-18,4,-19,5,-20,3,-20,2,0,0,1,16,1,15,1,15,0,16,0,15,0,15,0,15,0,14,-1,14,0,14,0,16,0,15,0,15,0,14,-1,14,0,15,0,14,0,13,0,14,-1,14,-1,14,-1,13,-1,13,0,13,0,14,0,14,0,0,-1,13,-1,13,-1,13,-1,12,-1,12,-1,12,-1,12,-1,11,-1,11,-1,11,-1,11,-1,10,-1,10,-1,10,-1,10,0,10,0,10,0,10,0,10,0,9,0,10,0,9,0,10,1,10,0,10,0,10,0,0]"
