CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-22,-21,4294798.657,4294800.588,0.116,19.992,19.992,19.992,"[2,14,2,14,3,13,3,15,3,14,3,14,3,14,3,13,3,14,4,13,4,15,4,14,5,15,4,14,4,15,5,14,5,14,4,14,5,14,5,15,4,15,5,15,4,14,6,14,6,15,7,15,0,0,6,15,6,15,7,15,7,15,7,16,7,16,7,16,7,15,7,16,7,15,8,16,7,16,8,16,8,17,7,16,8,17,8,17,8,18,8,18,7,18,6,18,6,19,6,19,7,20,5,20,4,21,0,0,7,11,8,11,9,10,9,12,8,11,8,11,8,11,8,11,8,12,9,10,10,12,10,11,11,11,10,12,10,12,11,12,10,11,9,11,11,11,10,12,10,12,10,12,9,12,11,10,12,12,12,12,0,0,12,11,11,12,12,12,12,11,11,12,11,12,11,12,11,12,11,12,11,12,12,12,11,11,11,11,11,12,11,12,11,12,11,12,11,12,10,12,10,12,10,13,9,12,9,12,10,12,8,13,8,13,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-23,-29,4294812.668,4294814.600,47.817,77.725,77.725,77.725,"[3,12,4,12,5,11,4,13,4,11,5,12,5,11,5,11,5,11,6,10,6,10,6,10,7,9,7,9,7,9,7,8,8,8,7,8,8,7,8,7,8,7,9,7,8,6,10,5,11,6,11,5,0,0,12,5,12,4,14,4,13,4,14,4,15,4,15,4,15,4,16,4,16,3,17,3,17,4,18,4,19,4,18,4,20,4,21,4,21,5,21,5,21,6,22,8,22,8,22,9,24,9,22,11,22,13,0,0,13,-9,13,-10,13,-10,14,-10,13,-10,14,-9,13,-9,13,-9,13,-9,12,-9,14,-10,13,-10,13,-10,13,-10,13,-9,13,-11,12,-10,12,-9,12,-10,12,-10,12,-9,12,-10,12,-9,11,-10,12,-10,12,-10,0,0,10,-10,11,-11,10,-11,9,-10,10,-10,10,-11,10,-11,9,-11,9,-11,8,-11,8,-13,8,-12,8,-13,8,-13,8,-13,8,-14,8,-15,9,-15,10,-15,11,-15,11,-15,12,-15,12,-15,13,-16,15,-15,16,-14,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-34,-28,4294810.488,4294812.560,93.525,138.638,138.638,138.638,"[4,1,4,1,4,0,5,0,4,0,5,-1,5,-1,5,-1,5,-1,6,-2,6,-2,6,-2,6,-2,7,-2,7,-1,7,-2,7,-2,7,-2,8,-2,8,-2,8,-1,8,-2,8,-1,9,-2,10,-2,10,-3,0,0,11,-2,12,-2,12,-2,12,-2,13,-2,13,-3,14,-3,14,-3,15,-3,15,-3,16,-4,16,-4,17,-4,18,-4,17,-4,19,-5,20,-5,20,-5,20,-5,20,-4,21,-4,21,-4,21,-4,22,-5,22,-3,22,-3,0,0,-14,9,-13,9,-13,9,-15,8,-14,8,-13,8,-13,7,-12,7,-13,7,-12,7,-13,7,-12,7,-12,7,-11,7,-11,6,-11,8,-10,7,-10,7,-9,7,-10,7,-10,7,-9,7,-10,7,-9,7,-9,8,-9,8,0,0,-9,8,-9,8,-9,8,-8,8,-9,8,-9,8,-9,8,-9,7,-9,8,-9,8,-8,8,-8,7,-9,6,-8,7,-8,7,-9,7,-8,7,-8,7,-8,7,-8,6,-9,6,-9,6,-9,6,-8,6,-9,6,-9,6,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-31,-24,4294739.398,4294741.428,147.918,197.314,197.314,197.314,"[-23,-3,-24,-3,-22,-2,-24,-3,-22,-3,-22,-4,-21,-3,-20,-3,-20,-3,-19,-2,-20,-2,-20,-1,-20,-1,-19,-1,-20,-2,-20,0,-19,0,-19,0,-20,1,-20,0,-20,-1,-20,0,-19,-1,-20,1,-21,0,-21,0,0,0,-20,-1,-20,-1,-21,-1,-19,-1,-20,-2,-20,-2,-19,-2,-18,-2,-18,-3,-16,-3,-17,-2,-16,-3,-15,-3,-16,-3,-14,-3,-14,-3,-13,-3,-14,-2,-13,-3,-12,-2,-11,-3,-11,-2,-10,-2,-10,-1,-10,-2,-10,-2,0,0,-6,7,-5,8,-4,8,-5,8,-4,8,-4,8,-3,9,-3,8,-3,9,-2,9,-2,10,-2,10,-1,10,-1,10,-2,10,-1,11,0,10,0,10,1,10,0,10,0,11,1,10,1,10,3,10,2,11,2,11,0,0,3,11,3,11,4,11,4,11,5,11,4,12,5,12,5,12,5,12,5,12,6,13,6,13,6,13,6,14,6,14,6,15,7,14,6,15,5,15,5,15,4,16,4,16,4,17,4,17,2,18,1,17,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-29,-23,135170.06,4294810.432,192.756,261.122,261.122,261.122,"[-5,-8,-5,-9,-6,-8,-7,-9,-6,-8,-7,-9,-8,-8,-7,-8,-8,-8,-8,-8,-9,-9,-10,-8,-10,-8,-10,-8,-10,-9,-12,-8,-12,-8,-11,-8,-13,-8,-13,-9,-13,-10,-13,-8,-13,-9,-15,-9,-15,-10,-16,-10,0,0,-15,-9,-15,-10,-17,-10,-15,-10,-16,-10,-16,-11,-16,-11,-16,-10,-16,-10,-15,-10,-17,-11,-15,-10,-16,-10,-17,-11,-16,-10,-17,-10,-17,-10,-17,-10,-17,-11,-16,-11,-16,-12,-16,-11,-16,-12,-17,-12,-15,-14,-16,-14,0,0,-11,-15,-11,-15,-11,-14,-11,-16,-10,-15,-10,-15,-10,-14,-9,-14,-9,-14,-9,-14,-9,-15,-9,-15,-9,-15,-9,-14,-8,-14,-9,-14,-8,-13,-8,-13,-8,-13,-8,-13,-7,-13,-8,-13,-6,-13,-8,-12,-7,-13,-8,-13,0,0,-7,-12,-7,-12,-8,-12,-7,-11,-7,-12,-7,-11,-7,-11,-6,-11,-6,-11,-6,-10,-7,-11,-6,-10,-6,-10,-6,-10,-6,-9,-6,-9,-7,-9,-6,-9,-6,-8,-6,-8,-6,-9,-6,-8,-6,-8,-7,-8,-6,-9,-6,-9,0,0]"
CSI_DATA: 6,3,2,2,2,1,2,0,-22,-23,613.228,618.336,10.00,802.273,541.151,16.592,"[-2,15,-1,16,-1,15,-2,17,-2,16,-1,16,-1,16,-1,16,-1,16,-1,15,-1,17,0,16,0,17,0,16,-1,17,0,17,1,16,0,15,1,16,0,16,0,16,1,16,0,15,2,16,1,17,3,16,0,0,3,16,3,16,4,16,4,16,4,16,4,17,4,17,5,16,5,17,5,17,7,18,5,18,6,18,6,19,6,18,7,19,6,20,6,21,6,21,5,21,4,21,3,22,3,22,3,24,1,23,0,24,0,0,-8,11,-8,12,-7,13,-8,13,-8,13,-9,13,-9,13,-8,12,-9,13,-8,12,-9,14,-8,14,-9,14,-8,14,-9,13,-8,15,-7,13,-8,13,-7,14,-9,14,-9,13,-8,14,-9,13,-7,14,-8,14,-8,15,0,0,-7,14,-8,15,-8,15,-7,14,-7,14,-8,14,-7,14,-7,14,-7,14,-7,14,-7,15,-7,13,-7,13,-7,14,-7,14,-7,14,-6,15,-7,14,-7,14,-7,13,-8,14,-7,13,-8,14,-8,14,-9,13,-9,13,0,0]"
CSI_DATA: 7,4,2,2,2,1,2,0,-23,-29,627.241,632.349,57.783,850.787,589.665,65.106,"[3,11,4,11,4,10,4,11,4,10,4,10,5,10,5,10,5,10,6,9,6,10,6,9,7,9,7,8,7,9,7,8,7,7,7,7,8,7,8,7,8,7,8,6,8,6,10,4,10,5,11,4,0,0,11,4,12,3,13,3,12,3,14,3,14,3,14,3,15,3,15,2,15,2,17,1,16,2,17,2,18,2,18,3,19,3,20,3,20,3,20,4,20,5,20,6,20,6,21,7,22,6,21,9,21,9,0,0,14,-7,13,-8,13,-9,14,-8,13,-8,13,-8,13,-8,12,-8,12,-9,12,-9,13,-9,13,-10,12,-10,12,-10,12,-10,13,-12,11,-11,12,-11,11,-12,12,-12,12,-12,12,-13,12,-12,12,-13,13,-14,12,-14,0,0,12,-14,12,-15,12,-15,12,-15,12,-15,12,-15,12,-15,11,-15,11,-16,11,-16,12,-17,11,-16,11,-17,11,-18,12,-19,12,-19,13,-20,13,-20,13,-20,14,-20,16,-20,16,-20,18,-20,18,-21,21,-19,21,-18,0,0]"
CSI_DATA: 8,6,2,2,2,1,2,0,-31,-22,554.66,559.174,157.883,950.80,688.958,164.399,"[9,17,9,17,9,16,8,17,8,17,7,16,7,15,6,15,6,15,6,14,7,14,7,13,7,13,7,13,6,13,8,13,7,11,8,12,8,11,7,12,7,12,8,12,7,12,9,11,9,12,9,12,0,0,8,12,8,12,8,12,8,12,7,12,7,12,7,12,6,12,7,12,6,11,7,11,6,10,6,10,6,10,6,10,6,9,6,10,6,9,6,9,6,9,6,9,6,9,6,10,7,10,6,10,6,11,0,0,9,3,9,2,9,1,10,2,9,2,10,1,10,1,10,0,10,0,10,0,11,-1,11,-1,11,-1,11,-2,11,-1,12,-3,11,-3,11,-3,10,-3,11,-3,11,-3,11,-4,11,-4,11,-6,12,-5,11,-6,0,0,11,-6,12,-6,11,-7,12,-8,12,-8,13,-8,13,-8,13,-8,13,-9,13,-9,14,-10,13,-9,14,-9,14,-10,14,-10,15,-11,16,-10,16,-10,16,-10,16,-9,17,-9,17,-8,18,-8,17,-8,19,-7,19,-6,0,0]"
CSI_DATA: 9,7,2,2,2,1,2,0,-26,-22,620.153,625.261,202.745,996.446,735.324,210.765,"[-3,8,-3,8,-1,8,-2,9,-2,8,-2,8,-1,8,-1,8,-1,8,0,8,1,8,1,8,2,8,2,8,2,9,3,8,3,8,3,8,4,8,4,9,4,9,5,9,4,8,6,8,6,9,7,8,0,0,8,8,8,8,9,9,9,8,9,9,10,10,10,10,10,10,11,10,11,9,12,10,12,10,12,10,13,11,12,11,13,12,14,12,13,13,13,13,12,14,12,15,12,15,12,16,13,16,11,17,10,18,0,0,-8,15,-8,15,-7,15,-8,15,-9,15,-9,14,-9,14,-9,13,-9,14,-8,13,-9,14,-8,14,-8,14,-8,13,-9,12,-8,14,-7,13,-8,13,-7,12,-8,13,-8,12,-7,12,-8,12,-6,12,-7,13,-7,13,0,0,-7,12,-7,12,-7,12,-6,12,-7,11,-7,12,-7,11,-7,11,-7,11,-7,11,-7,12,-7,10,-7,10,-7,10,-6,10,-6,10,-6,10,-6,10,-7,9,-6,9,-7,8,-6,8,-6,8,-6,8,-6,8,-6,7,0,0]"
CSI_DATA: 10,3,3,3,3,2,3,0,-21,-28,1003.205,1008.297,15.213,1192.334,195.888,16.684,"[17,-5,18,-5,17,-6,19,-6,18,-5,18,-5,17,-5,17,-5,18,-5,17,-5,19,-6,18,-6,18,-6,18,-6,19,-5,18,-6,17,-6,17,-5,18,-6,18,-4,18,-4,17,-5,16,-4,17,-6,18,-6,17,-6,0,0,17,-6,16,-6,17,-7,16,-6,17,-6,17,-6,17,-7,16,-6,17,-7,15,-7,17,-9,17,-7,17,-8,17,-8,16,-8,18,-9,17,-8,18,-8,18,-7,18,-7,19,-7,19,-6,19,-6,20,-7,20,-5,21,-5,0,0,-11,-6,-12,-6,-12,-5,-13,-6,-13,-6,-14,-5,-14,-5,-14,-5,-15,-5,-14,-4,-16,-5,-16,-4,-17,-4,-17,-4,-17,-5,-18,-3,-17,-3,-17,-3,-18,-2,-18,-3,-19,-4,-19,-3,-18,-4,-19,-1,-21,-2,-21,-1,0,0,-21,-2,-22,-2,-22,-1,-21,-1,-21,-2,-22,-2,-22,-3,-21,-3,-22,-3,-22,-2,-23,-1,-21,-2,-22,-3,-22,-3,-21,-3,-23,-3,-22,-3,-21,-3,-21,-4,-20,-5,-20,-6,-19,-6,-19,-6,-19,-5,-18,-7,-18,-7,0,0]"
