CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,2,1,1,0,-24,-18,239.636,246.855,17.654,26.394,26.394,26.394,"[7,-14,6,-15,5,-14,7,-15,5,-14,6,-13,5,-13,5,-12,5,-13,3,-12,4,-13,3,-13,3,-13,2,-12,3,-12,1,-12,1,-12,1,-11,0,-12,0,-12,0,-12,-1,-12,-1,-11,-3,-12,-3,-13,-3,-13,0,0,-4,-12,-4,-13,-5,-13,-6,-12,-6,-14,-6,-14,-6,-15,-6,-14,-6,-15,-6,-14,-7,-16,-6,-16,-7,-16,-7,-17,-6,-16,-6,-18,-6,-18,-6,-18,-5,-18,-4,-18,-3,-19,-2,-19,-2,-18,-3,-19,-1,-19,0,-19,0,0,12,-1,13,-1,12,-2,13,-2,12,-2,13,-2,12,-2,12,-2,12,-3,12,-3,13,-4,13,-4,12,-4,12,-5,12,-4,12,-6,12,-6,11,-5,12,-6,12,-6,12,-6,11,-7,12,-6,11,-8,12,-8,12,-9,0,0,12,-9,12,-10,12,-11,11,-10,12,-10,12,-11,12,-11,12,-11,13,-11,12,-11,13,-12,13,-11,13,-12,14,-12,14,-11,15,-12,14,-12,15,-12,15,-11,16,-10,17,-10,16,-9,16,-9,17,-9,17,-7,18,-7,0,0]"
CSI_DATA: 2,4,1,1,2,1,1,0,-20,-21,244.283,251.503,67.250,93.993,93.993,93.993,"[8,5,8,5,8,4,9,6,8,5,8,5,8,5,7,5,8,5,8,4,8,5,8,4,9,4,8,4,8,5,9,3,8,3,8,3,9,3,8,3,8,4,8,3,8,3,9,2,9,3,9,2,0,0,9,2,9,2,10,2,9,1,10,2,10,2,10,2,9,2,10,2,9,2,10,1,10,1,10,2,11,2,10,2,11,2,11,2,11,2,11,3,10,3,10,3,10,4,10,4,10,4,9,5,9,5,0,0,3,-17,3,-17,2,-17,4,-19,3,-17,3,-18,3,-17,3,-17,4,-17,3,-16,3,-18,2,-18,3,-18,3,-17,4,-17,2,-17,2,-17,3,-16,2,-17,3,-17,4,-16,3,-16,3,-16,1,-17,3,-17,2,-17,0,0,2,-17,2,-16,2,-17,2,-16,3,-16,3,-16,3,-16,3,-15,2,-15,2,-15,2,-16,2,-15,2,-15,3,-15,3,-14,2,-15,2,-14,2,-14,3,-14,3,-13,3,-14,4,-13,3,-13,3,-13,4,-13,4,-13,0,0]"
CSI_DATA: 3,5,1,1,1,1,1,0,-22,-21,237.786,245.05,112.500,149.370,149.370,149.370,"[1,8,1,8,1,8,1,9,0,8,0,8,0,8,0,7,0,7,0,7,0,7,0,7,1,7,0,7,0,7,1,6,1,6,1,5,1,6,1,6,1,6,2,5,1,5,2,5,2,6,3,5,0,0,3,5,3,5,4,5,4,5,4,5,4,6,4,5,4,5,4,5,4,5,5,5,5,5,5,6,5,6,5,6,6,6,6,6,6,7,6,7,5,7,5,8,5,8,5,8,5,9,4,9,4,10,0,0,11,-11,10,-12,10,-12,11,-12,10,-12,11,-12,11,-12,10,-12,11,-12,9,-12,10,-14,9,-14,10,-14,10,-14,11,-13,10,-14,9,-14,10,-13,10,-15,10,-14,11,-14,11,-14,10,-14,9,-15,10,-16,10,-16,0,0,10,-15,11,-15,11,-16,10,-15,11,-15,11,-15,11,-15,11,-15,11,-15,10,-15,11,-16,11,-15,10,-15,11,-15,11,-14,12,-15,11,-14,12,-15,12,-14,12,-13,13,-13,13,-13,12,-13,12,-14,13,-13,14,-13,0,0]"
CSI_DATA: 4,6,1,1,1,1,1,0,-29,-21,244.102,251.322,162.592,207.733,207.733,207.733,"[-11,14,-11,14,-10,13,-13,14,-12,12,-12,12,-12,11,-11,10,-11,9,-9,9,-10,10,-8,10,-8,10,-8,10,-8,10,-7,10,-7,10,-7,10,-7,11,-8,11,-8,10,-7,11,-7,10,-6,11,-7,11,-7,11,0,0,-7,10,-7,10,-7,10,-6,9,-7,9,-7,9,-6,9,-5,8,-5,8,-4,8,-3,9,-3,9,-3,9,-2,10,-1,10,-1,11,-1,11,-1,12,-1,13,-1,13,-2,14,-3,14,-3,15,-2,16,-4,16,-5,16,0,0,-13,-10,-13,-10,-12,-9,-13,-11,-12,-10,-12,-10,-12,-9,-12,-9,-12,-9,-11,-8,-13,-8,-12,-8,-12,-8,-13,-7,-12,-8,-13,-7,-12,-7,-12,-7,-12,-6,-12,-7,-12,-7,-12,-7,-12,-6,-13,-5,-13,-6,-13,-5,0,0,-13,-5,-13,-5,-13,-5,-13,-4,-13,-4,-13,-5,-13,-5,-13,-4,-14,-4,-14,-4,-15,-3,-14,-4,-14,-4,-15,-4,-14,-4,-16,-4,-15,-4,-16,-5,-16,-6,-15,-6,-15,-7,-14,-8,-14,-8,-15,-7,-14,-9,-14,-9,0,0]"
CSI_DATA: 5,7,1,1,0,1,1,0,-26,-25,4294805.269,241.991,216.753,275.950,275.950,275.950,"[-13,5,-13,5,-12,7,-14,6,-13,5,-14,5,-13,4,-13,4,-13,4,-11,4,-12,4,-11,5,-10,6,-10,6,-10,6,-10,7,-9,7,-9,7,-9,8,-10,8,-10,8,-10,9,-11,7,-9,10,-11,10,-11,10,0,0,-11,10,-11,10,-12,10,-11,9,-12,9,-12,9,-12,9,-12,8,-12,8,-11,7,-12,8,-11,7,-11,7,-11,7,-11,7,-11,7,-10,7,-10,6,-10,6,-10,5,-10,5,-9,5,-9,5,-9,5,-8,4,-8,4,0,0,-14,-11,-14,-11,-15,-10,-15,-12,-14,-11,-13,-11,-13,-12,-12,-11,-11,-11,-11,-10,-12,-10,-11,-10,-12,-10,-11,-9,-11,-10,-12,-9,-11,-8,-10,-9,-11,-8,-11,-9,-10,-9,-11,-9,-10,-8,-11,-8,-11,-8,-11,-8,0,0,-11,-7,-11,-8,-11,-8,-10,-6,-10,-7,-11,-7,-10,-7,-10,-7,-10,-7,-10,-6,-11,-6,-10,-6,-10,-6,-11,-6,-10,-6,-11,-6,-11,-6,-11,-6,-11,-6,-10,-6,-10,-7,-10,-6,-11,-7,-11,-7,-11,-7,-10,-7,0,0]"
CSI_DATA: 6,3,2,2,2,2,2,0,-24,-20,239.636,636.834,16.865,409.264,133.314,19.249,"[7,-14,6,-15,5,-14,7,-15,5,-14,6,-13,5,-13,5,-12,5,-13,3,-12,4,-13,3,-13,3,-13,2,-12,3,-12,1,-12,1,-12,1,-11,0,-12,0,-12,0,-12,-1,-12,-1,-11,-3,-12,-3,-13,-3,-13,0,0,-4,-12,-4,-13,-5,-13,-6,-12,-6,-14,-6,-14,-6,-15,-6,-14,-6,-15,-6,-14,-7,-16,-6,-16,-7,-16,-7,-17,-6,-16,-6,-18,-6,-18,-6,-18,-5,-18,-4,-18,-3,-19,-2,-19,-2,-18,-3,-19,-1,-19,0,-19,0,0,11,1,12,1,12,0,13,0,12,0,12,0,12,-1,12,-1,12,-1,11,-2,12,-2,12,-3,12,-3,11,-4,12,-3,12,-5,11,-5,11,-4,11,-5,12,-5,12,-5,11,-6,11,-6,11,-8,12,-8,12,-9,0,0,12,-9,12,-9,13,-10,12,-10,13,-10,14,-10,14,-10,14,-10,14,-10,14,-10,15,-11,14,-10,14,-10,15,-10,15,-9,17,-10,16,-9,17,-9,17,-8,17,-7,17,-7,17,-6,17,-6,18,-6,18,-4,18,-4,0,0]"
CSI_DATA: 7,4,2,2,3,2,2,0,-20,-21,633.814,641.483,66.447,464.578,188.628,74.563,"[5,-16,5,-17,4,-17,5,-18,5,-17,5,-17,5,-17,4,-16,4,-16,3,-16,4,-18,4,-17,4,-17,3,-17,4,-16,2,-17,2,-16,2,-15,1,-16,2,-16,3,-16,1,-16,2,-15,0,-16,1,-17,0,-17,0,0,-1,-17,-1,-16,-2,-18,-2,-16,-1,-17,-2,-18,-2,-17,-2,-17,-2,-17,-2,-17,-3,-19,-2,-18,-2,-18,-2,-19,-2,-18,-2,-19,-2,-19,-2,-19,-1,-19,0,-19,1,-19,1,-19,2,-19,1,-20,3,-19,4,-18,0,0,-17,1,-17,2,-17,3,-18,2,-17,2,-17,1,-17,1,-17,1,-17,1,-16,2,-18,2,-17,2,-17,2,-17,2,-17,1,-18,2,-16,2,-16,1,-16,2,-17,1,-17,0,-16,1,-16,0,-16,3,-17,2,-16,2,0,0,-16,1,-16,1,-16,2,-15,1,-15,1,-15,1,-15,1,-15,1,-14,0,-14,1,-15,1,-13,1,-13,1,-13,0,-13,0,-13,0,-13,1,-13,0,-13,0,-12,0,-12,-1,-12,0,-12,-1,-12,0,-11,-1,-11,-1,0,0]"
CSI_DATA: 8,5,2,2,2,2,2,0,-22,-22,627.317,634.985,111.694,529.731,253.781,139.716,"[-1,-8,-2,-8,-2,-7,-2,-9,-2,-8,-2,-8,-2,-8,-2,-7,-2,-7,-2,-7,-2,-8,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-6,-3,-6,-3,-6,-2,-6,-3,-6,-2,-5,-3,-6,-4,-6,-4,-6,0,0,-4,-6,-4,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-7,-5,-6,-5,-6,-5,-6,-6,-7,-6,-7,-6,-7,-7,-7,-5,-7,-6,-8,-6,-7,-6,-8,-6,-8,-6,-8,-6,-8,-5,-9,-5,-9,-6,-9,-5,-10,-5,-10,0,0,-14,3,-14,3,-14,4,-15,4,-14,3,-15,4,-14,3,-14,3,-14,3,-13,4,-15,5,-14,5,-14,5,-14,5,-14,4,-14,5,-14,5,-14,5,-14,6,-15,5,-15,5,-14,5,-14,5,-14,6,-15,6,-15,6,0,0,-15,6,-15,5,-15,6,-14,6,-15,5,-15,5,-15,5,-15,5,-15,5,-14,5,-15,6,-14,5,-14,4,-15,4,-14,4,-14,5,-14,4,-15,4,-14,4,-14,3,-14,3,-14,2,-14,3,-14,3,-14,2,-14,2,0,0]"
CSI_DATA: 9,6,2,2,2,2,2,0,-30,-22,633.633,641.302,161.659,593.51,317.101,203.36,"[-9,-13,-9,-14,-9,-12,-9,-15,-8,-13,-8,-14,-6,-13,-6,-12,-6,-12,-6,-10,-7,-10,-8,-9,-8,-9,-8,-8,-9,-9,-10,-9,-10,-8,-10,-8,-11,-8,-10,-8,-10,-10,-10,-9,-10,-9,-11,-8,-11,-9,-11,-9,0,0,-11,-8,-10,-9,-11,-9,-10,-7,-10,-8,-10,-8,-10,-7,-10,-7,-10,-6,-10,-5,-11,-5,-11,-5,-12,-5,-13,-4,-12,-4,-15,-4,-14,-3,-16,-4,-16,-5,-16,-5,-16,-6,-17,-7,-18,-7,-19,-7,-18,-9,-18,-10,0,0,-17,-2,-18,-2,-16,-1,-18,-2,-16,-2,-17,-2,-17,-3,-16,-2,-15,-3,-14,-1,-16,-1,-15,-1,-15,-1,-15,-1,-15,-1,-15,0,-15,0,-14,0,-14,0,-14,-1,-14,-1,-14,0,-14,0,-14,1,-14,1,-14,1,0,0,-14,1,-13,1,-14,1,-13,2,-14,1,-14,1,-13,1,-13,2,-14,2,-14,2,-15,3,-14,2,-14,2,-14,2,-15,2,-16,2,-15,1,-16,2,-16,1,-16,0,-16,-1,-15,-1,-15,-2,-16,-1,-16,-3,-16,-3,0,0]"
CSI_DATA: 10,7,2,2,1,2,2,0,-26,-26,624.303,631.971,215.823,662.493,386.543,272.478,"[4,15,5,15,5,15,5,17,4,16,3,16,2,15,2,15,1,14,2,13,2,14,3,13,3,13,4,12,4,13,5,12,5,12,5,11,6,13,5,13,5,13,6,13,5,12,7,13,6,14,7,14,0,0,6,14,6,14,6,15,6,13,5,15,5,14,5,14,4,13,4,13,4,12,5,13,3,12,3,12,4,12,3,10,4,11,4,11,4,10,3,10,3,9,3,9,3,9,3,8,4,9,4,8,4,8,0,0,9,-14,9,-15,8,-14,10,-15,9,-13,10,-14,10,-13,10,-12,10,-11,8,-11,9,-12,8,-12,8,-11,7,-11,8,-11,8,-12,7,-11,7,-10,7,-11,7,-10,7,-10,7,-10,7,-10,5,-10,6,-11,6,-11,0,0,6,-10,5,-10,5,-11,5,-10,5,-10,5,-10,5,-10,5,-10,5,-10,4,-10,4,-11,3,-10,3,-11,4,-11,4,-11,4,-12,3,-12,4,-12,5,-12,5,-12,5,-12,5,-12,5,-12,5,-14,6,-13,7,-13,0,0]"
CSI_DATA: 11,3,3,3,4,3,4,0,-21,-22,1409.132,1416.857,17.757,1189.265,526.772,19.270,"[-14,-6,-14,-5,-14,-4,-15,-5,-14,-4,-14,-5,-14,-5,-13,-4,-13,-4,-13,-3,-14,-3,-14,-2,-14,-2,-13,-2,-13,-2,-13,-1,-12,-1,-12,0,-12,1,-12,0,-12,1,-12,1,-12,1,-12,3,-13,3,-13,4,0,0,-12,5,-13,5,-13,6,-12,6,-13,7,-14,7,-14,8,-14,8,-14,8,-14,8,-15,10,-15,9,-15,9,-16,10,-16,9,-17,10,-17,10,-18,10,-19,9,-19,8,-20,8,-20,7,-20,7,-21,8,-21,5,-21,5,0,0,11,0,11,0,11,-1,12,-1,11,-1,11,-1,11,-1,11,-2,11,-1,10,-2,11,-2,11,-3,11,-3,10,-3,11,-3,11,-4,10,-4,10,-4,10,-4,10,-5,10,-4,10,-5,10,-4,10,-6,11,-6,11,-7,0,0,11,-6,11,-7,11,-7,11,-7,11,-7,12,-7,12,-7,12,-7,12,-7,12,-7,13,-7,12,-6,12,-6,13,-6,13,-6,13,-6,13,-6,13,-5,14,-4,13,-4,13,-3,13,-3,13,-2,13,-3,13,-1,13,-1,0,0]"
CSI_DATA: 12,4,3,3,5,3,4,0,-20,-22,1413.781,1421.506,67.359,1243.365,580.872,73.370,"[7,-16,7,-17,5,-17,7,-18,6,-17,6,-17,6,-17,5,-16,5,-16,4,-15,5,-17,4,-17,4,-17,4,-16,4,-16,3,-17,3,-16,3,-15,2,-16,2,-15,2,-15,1,-15,2,-15,0,-16,0,-17,-1,-17,0,0,-2,-16,-2,-16,-2,-18,-3,-17,-2,-17,-3,-18,-3,-18,-3,-18,-3,-18,-3,-18,-4,-20,-3,-19,-3,-19,-4,-20,-3,-20,-3,-21,-3,-21,-2,-22,-2,-22,-1,-21,0,-22,1,-22,2,-22,1,-22,3,-22,4,-22,0,0,13,4,14,4,14,3,15,5,14,4,14,5,14,4,14,4,14,5,14,4,15,5,15,4,15,4,14,4,14,5,15,4,14,4,14,4,14,4,14,4,14,4,14,4,14,4,14,3,15,4,15,4,0,0,14,4,14,3,14,3,14,3,13,3,14,3,14,3,13,3,13,3,13,3,13,3,12,3,12,2,13,2,13,3,13,2,13,2,13,2,13,2,13,3,13,3,12,3,13,3,13,2,13,4,13,4,0,0]"
CSI_DATA: 13,5,3,3,4,3,4,0,-23,-23,1407.284,1415.09,112.618,1304.324,641.831,134.329,"[-4,14,-4,15,-2,15,-4,15,-3,15,-4,14,-3,14,-3,13,-4,13,-3,13,-3,14,-2,13,-2,13,-2,13,-3,12,-1,12,-1,11,-1,11,0,11,0,11,0,11,1,11,1,10,3,11,3,12,3,12,0,0,4,11,5,11,6,12,6,12,6,13,6,13,6,13,6,13,7,14,7,14,8,14,7,14,8,15,8,15,7,15,8,16,8,17,8,17,7,17,7,18,6,18,6,19,6,20,6,20,4,20,4,20,0,0,-13,-9,-13,-9,-13,-8,-14,-9,-13,-9,-14,-9,-14,-9,-13,-8,-14,-8,-14,-7,-15,-8,-15,-7,-15,-7,-16,-7,-15,-8,-16,-6,-16,-6,-15,-7,-17,-6,-17,-7,-17,-7,-17,-6,-16,-7,-17,-6,-18,-6,-19,-7,0,0,-18,-6,-18,-6,-19,-6,-17,-6,-18,-7,-19,-7,-18,-7,-17,-7,-17,-7,-17,-6,-19,-6,-17,-6,-17,-6,-18,-7,-17,-7,-18,-7,-17,-6,-18,-7,-17,-7,-17,-8,-17,-8,-16,-8,-16,-8,-17,-7,-16,-9,-16,-9,0,0]"
