CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-20,-23,4294806.103,4294808.691,0.115,19.993,19.993,19.993,"[-15,1,-15,1,-15,2,-16,2,-15,2,-15,2,-15,2,-14,2,-14,2,-13,2,-15,3,-14,3,-14,3,-13,3,-13,3,-13,4,-12,4,-12,4,-12,5,-12,4,-12,4,-12,5,-11,5,-11,6,-12,6,-11,7,0,0,-11,8,-11,8,-11,8,-10,9,-12,9,-12,9,-12,9,-12,9,-12,10,-11,10,-12,11,-12,10,-13,10,-14,10,-13,10,-14,11,-15,11,-15,10,-15,9,-15,9,-16,8,-16,7,-16,7,-17,7,-17,6,-17,5,0,0,13,-2,14,-2,13,-3,14,-3,13,-3,14,-3,13,-3,13,-3,13,-3,13,-4,13,-5,13,-5,13,-6,12,-6,12,-5,12,-7,12,-7,12,-6,11,-7,12,-7,12,-7,12,-7,12,-7,11,-9,12,-9,12,-10,0,0,12,-9,12,-11,12,-11,11,-11,12,-11,12,-11,12,-11,12,-10,12,-11,12,-11,13,-12,13,-11,12,-11,13,-11,14,-11,14,-12,14,-11,15,-11,15,-10,15,-9,16,-9,16,-8,16,-8,16,-8,16,-6,16,-5,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-21,-35,4294810.750,4294813.337,46.920,86.177,86.177,86.177,"[15,3,15,2,15,1,16,2,15,2,15,3,14,2,14,2,14,2,14,1,15,1,15,0,15,0,15,0,15,1,14,-1,14,-1,13,0,14,-1,14,-1,14,0,14,-1,13,-1,14,-3,15,-2,15,-3,0,0,15,-3,15,-3,15,-4,14,-4,16,-4,16,-4,16,-4,15,-4,16,-4,15,-4,17,-5,16,-4,17,-4,18,-4,17,-4,18,-4,18,-3,19,-3,18,-2,18,-2,18,-1,18,0,18,0,19,0,18,2,18,2,0,0,-5,-2,-5,-2,-5,-1,-4,0,-4,1,-4,1,-3,1,-3,2,-3,3,-2,4,-1,5,-1,5,-1,6,0,6,0,7,1,8,1,8,1,9,2,10,2,10,1,11,2,12,2,12,5,12,4,14,4,14,0,0,4,15,5,16,6,16,6,16,5,17,5,18,5,18,4,19,5,18,5,18,6,19,5,18,5,18,4,19,4,19,4,18,4,19,3,18,2,18,1,17,1,17,1,16,1,16,2,16,1,15,0,14,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-29,-29,4294808.35,4294810.622,92.249,143.208,143.208,143.208,"[10,-13,10,-13,9,-13,10,-13,9,-12,10,-12,10,-11,9,-11,10,-11,9,-11,10,-11,9,-11,9,-10,9,-10,10,-9,9,-10,8,-10,8,-9,8,-9,8,-9,8,-8,7,-9,8,-8,6,-9,8,-9,7,-9,0,0,6,-9,6,-8,6,-9,6,-8,6,-8,6,-8,6,-8,5,-8,6,-8,5,-8,5,-9,4,-7,5,-8,5,-8,4,-7,4,-9,4,-8,5,-9,5,-8,4,-8,5,-9,5,-8,5,-8,5,-9,5,-8,6,-8,0,0,-11,-8,-12,-8,-12,-7,-13,-9,-13,-8,-13,-9,-13,-9,-13,-8,-13,-8,-14,-8,-15,-9,-16,-8,-16,-8,-16,-8,-16,-9,-18,-8,-17,-8,-17,-9,-18,-9,-18,-10,-17,-11,-18,-10,-17,-11,-18,-9,-19,-11,-19,-11,0,0,-18,-11,-19,-11,-19,-11,-18,-11,-18,-11,-18,-12,-17,-12,-17,-12,-16,-12,-16,-12,-17,-11,-15,-11,-15,-11,-15,-11,-15,-11,-15,-10,-15,-10,-14,-10,-13,-10,-12,-10,-12,-11,-12,-9,-12,-9,-13,-8,-11,-9,-11,-9,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-33,-21,4294814.203,4294816.792,142.17,211.433,211.433,211.433,"[-10,-12,-11,-12,-11,-11,-12,-13,-12,-12,-13,-13,-13,-14,-12,-13,-12,-14,-11,-13,-12,-15,-12,-14,-12,-14,-11,-13,-11,-14,-12,-12,-12,-12,-12,-11,-13,-11,-12,-11,-12,-12,-13,-11,-12,-11,-14,-10,-14,-11,-14,-10,0,0,-14,-10,-14,-10,-14,-10,-14,-10,-14,-11,-13,-11,-13,-11,-12,-11,-13,-11,-10,-11,-11,-11,-9,-11,-8,-11,-8,-11,-6,-9,-6,-9,-5,-8,-4,-7,-4,-6,-3,-5,-2,-4,-2,-3,-1,-2,-2,-1,-2,0,-2,1,0,0,6,-14,6,-14,4,-14,6,-15,5,-14,5,-13,5,-13,5,-12,5,-12,4,-13,4,-14,3,-13,3,-13,3,-13,3,-13,3,-13,2,-13,2,-13,1,-13,3,-13,3,-13,2,-13,2,-13,0,-13,1,-14,1,-14,0,0,1,-13,1,-14,0,-14,0,-13,0,-14,0,-14,1,-14,0,-14,0,-14,0,-14,-1,-15,-1,-14,-1,-15,-1,-15,0,-15,0,-16,0,-16,0,-16,1,-16,2,-15,3,-16,3,-16,3,-16,3,-16,5,-16,6,-15,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-30,-25,4294805.19,4294807.606,195.918,282.55,282.55,282.55,"[-13,-2,-13,-2,-13,-1,-15,-2,-14,-1,-14,-1,-14,-1,-14,0,-14,0,-13,1,-15,3,-15,4,-15,4,-16,5,-17,5,-17,7,-16,6,-17,6,-18,7,-19,7,-19,6,-19,8,-19,6,-19,9,-21,9,-21,10,0,0,-21,9,-22,9,-23,10,-21,9,-23,8,-23,8,-23,7,-22,7,-23,6,-21,6,-22,7,-21,4,-21,4,-21,4,-19,3,-19,4,-19,3,-18,2,-17,2,-15,1,-15,1,-14,0,-13,0,-12,1,-11,0,-10,0,0,0,2,-17,2,-17,0,-17,2,-18,2,-17,2,-16,2,-16,2,-15,2,-14,1,-14,1,-15,0,-14,0,-14,-1,-13,-1,-13,-2,-14,-2,-13,-2,-14,-3,-13,-2,-14,-2,-14,-3,-14,-1,-14,-4,-14,-3,-15,-3,-15,0,0,-3,-14,-4,-15,-5,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-5,-16,-4,-15,-4,-15,-4,-15,-4,-16,-4,-16,-4,-16,-3,-16,-3,-16,-2,-15,-2,-16,-2,-15,-1,-16,-2,-16,0,-16,0,-16,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-21,-35,233.936,237.498,62.964,460.473,178.418,66.364,"[-12,10,-12,10,-11,11,-13,11,-12,10,-12,11,-11,11,-11,10,-11,10,-10,10,-11,11,-10,11,-10,12,-10,11,-10,11,-9,12,-8,12,-8,11,-8,12,-9,12,-9,12,-8,12,-8,11,-6,13,-8,13,-7,14,0,0,-6,14,-6,14,-6,15,-6,14,-6,15,-6,15,-6,15,-6,15,-6,16,-6,15,-6,17,-6,15,-7,16,-7,17,-7,16,-7,17,-8,17,-8,17,-9,17,-9,16,-10,16,-10,15,-11,15,-11,16,-12,14,-13,14,0,0,-1,5,-1,4,0,4,0,4,1,3,2,3,2,2,3,1,3,1,4,0,5,0,6,-1,6,-1,6,-2,7,-2,8,-3,8,-4,8,-3,9,-4,9,-4,10,-4,10,-5,11,-5,11,-7,12,-7,13,-8,0,0,14,-8,14,-8,15,-9,15,-9,16,-9,16,-8,16,-8,16,-8,17,-8,17,-8,18,-10,17,-8,17,-8,18,-8,17,-7,18,-7,17,-7,17,-7,17,-6,16,-5,17,-5,15,-4,15,-5,14,-5,14,-4,14,-3,0,0]"
CSI_DATA: 7,6,2,2,1,1,1,0,-32,-21,237.387,240.949,158.44,553.567,271.512,159.458,"[12,-13,12,-14,11,-15,14,-16,13,-16,15,-17,14,-16,14,-16,14,-16,13,-15,15,-17,14,-16,14,-16,13,-16,14,-15,12,-16,11,-16,10,-15,10,-17,10,-16,10,-16,9,-16,10,-16,8,-18,8,-18,8,-19,0,0,7,-18,7,-18,8,-20,8,-19,8,-19,9,-19,9,-18,9,-17,9,-17,9,-14,10,-16,9,-14,9,-13,9,-12,8,-10,9,-10,7,-7,7,-7,6,-6,5,-5,4,-4,3,-3,2,-3,1,-2,0,-2,-1,-1,0,0,-10,-11,-11,-11,-11,-11,-11,-12,-10,-11,-11,-11,-10,-11,-10,-10,-10,-10,-10,-9,-11,-10,-11,-9,-11,-9,-11,-8,-11,-9,-12,-8,-11,-8,-11,-8,-12,-8,-12,-8,-11,-8,-11,-7,-11,-8,-12,-6,-12,-7,-12,-7,0,0,-12,-7,-12,-7,-13,-6,-12,-6,-13,-6,-13,-6,-13,-6,-12,-6,-13,-6,-13,-5,-14,-5,-13,-6,-14,-6,-14,-6,-14,-6,-15,-6,-15,-6,-15,-6,-15,-8,-14,-8,-14,-9,-13,-9,-14,-10,-14,-10,-13,-11,-13,-11,0,0]"
CSI_DATA: 8,3,2,2,2,1,2,0,-20,-22,619.303,622.197,12.699,800.421,246.854,16.285,"[-6,7,-6,7,-5,7,-6,8,-6,7,-6,7,-6,7,-5,7,-5,7,-5,7,-5,7,-5,7,-5,7,-4,7,-5,7,-4,8,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-2,8,-2,8,-2,8,0,0,-1,8,-1,8,-1,8,-1,8,-1,9,-1,9,0,9,0,9,0,9,0,9,0,10,-1,10,-1,10,-1,10,-1,10,-1,11,-1,11,-2,11,-2,11,-2,11,-3,11,-3,10,-4,10,-4,11,-5,10,-5,10,0,0,2,12,2,12,3,12,3,13,2,12,3,12,3,12,3,11,3,11,4,11,4,12,5,11,5,11,5,11,4,11,6,11,6,10,5,10,7,10,6,10,6,10,7,10,7,10,8,9,8,10,9,10,0,0,9,10,9,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,11,10,12,11,10,10,11,10,10,11,11,11,11,12,11,12,11,13,10,13,9,13,9,14,8,13,7,14,8,14,6,15,6,15,0,0]"
CSI_DATA: 9,5,2,2,1,1,2,0,-30,-29,231.220,624.129,108.30,893.896,340.329,109.760,"[17,-3,18,-4,17,-4,18,-3,17,-3,17,-3,16,-2,16,-2,16,-1,14,-2,17,-2,16,-2,15,-1,15,-1,15,0,14,-2,13,-2,13,-1,13,-2,13,-1,12,-1,12,-1,12,-1,11,-3,12,-2,12,-2,0,0,11,-3,11,-2,11,-2,10,-3,10,-2,10,-3,10,-2,9,-3,10,-3,9,-3,10,-4,9,-3,9,-3,10,-4,9,-4,9,-4,9,-4,9,-4,10,-4,9,-3,10,-3,9,-3,9,-4,10,-4,10,-3,11,-3,0,0,-9,9,-9,10,-8,10,-10,11,-10,11,-10,11,-10,12,-9,12,-10,12,-9,12,-10,14,-10,14,-10,14,-10,15,-11,15,-10,16,-10,16,-10,15,-10,17,-12,16,-13,16,-11,16,-12,15,-11,17,-12,17,-12,18,0,0,-12,17,-12,17,-13,17,-12,17,-13,17,-14,16,-14,16,-14,15,-13,15,-12,14,-12,16,-12,13,-12,13,-12,13,-12,13,-11,14,-11,13,-12,13,-11,12,-11,11,-11,11,-10,10,-10,10,-10,11,-10,10,-10,10,0,0]"
CSI_DATA: 10,6,3,3,2,2,2,0,-32,-20,627.402,630.295,157.818,948.943,395.376,164.807,"[-10,-13,-12,-13,-12,-13,-13,-15,-12,-14,-13,-15,-13,-15,-14,-14,-13,-15,-13,-14,-14,-17,-13,-15,-13,-15,-13,-15,-13,-15,-14,-14,-13,-13,-13,-12,-14,-13,-14,-13,-14,-13,-14,-12,-13,-11,-15,-11,-15,-12,-16,-11,0,0,-15,-11,-15,-11,-16,-12,-15,-11,-16,-12,-16,-12,-14,-12,-14,-12,-13,-12,-12,-11,-12,-12,-10,-12,-10,-12,-9,-11,-7,-10,-6,-10,-5,-9,-5,-8,-4,-7,-3,-6,-2,-5,-2,-4,-1,-3,-1,-2,-1,-1,0,0,0,0,10,-11,10,-11,9,-12,10,-12,9,-11,10,-11,9,-11,9,-10,9,-10,8,-11,8,-11,7,-12,7,-11,7,-12,7,-11,7,-12,6,-12,6,-11,6,-12,7,-12,7,-11,6,-12,6,-11,5,-12,6,-12,5,-13,0,0,5,-12,4,-13,4,-13,4,-13,4,-13,4,-13,4,-13,4,-13,4,-13,4,-13,4,-14,4,-14,4,-14,4,-15,4,-14,4,-15,4,-15,5,-15,6,-15,6,-14,7,-15,7,-14,8,-14,7,-15,9,-14,9,-13,0,0]"
