CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-21,-20,4294806.517,4294811.970,0.116,19.993,19.993,19.993,"[7,11,7,10,8,10,8,10,8,10,7,10,7,9,7,9,7,9,8,9,8,9,8,8,8,8,8,8,8,8,9,7,8,6,8,7,9,6,9,7,9,7,9,6,9,6,10,5,11,6,11,5,0,0,11,5,11,5,12,5,11,5,12,5,12,5,12,5,12,5,13,5,12,5,13,5,13,5,13,6,13,6,13,6,14,6,14,7,13,7,13,7,13,8,13,9,13,9,12,10,12,10,11,11,10,11,0,0,13,-3,13,-4,12,-5,14,-5,13,-5,13,-5,13,-6,12,-5,12,-6,11,-6,13,-7,12,-7,12,-8,11,-8,12,-7,12,-9,11,-9,11,-8,11,-9,11,-9,11,-9,10,-10,11,-9,10,-11,11,-11,10,-12,0,0,10,-12,10,-13,10,-13,10,-13,10,-14,10,-14,11,-14,10,-14,11,-14,11,-14,11,-16,11,-14,11,-14,12,-15,12,-14,13,-16,12,-15,13,-14,13,-14,14,-13,14,-13,14,-12,14,-11,15,-12,16,-10,16,-9,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-19,-33,4294809.863,4294814.52,43.533,80.617,80.617,80.617,"[-15,7,-15,7,-14,8,-16,8,-15,8,-15,8,-14,7,-14,7,-14,8,-13,8,-14,9,-14,9,-14,9,-13,9,-14,8,-12,10,-11,10,-11,10,-12,11,-12,10,-12,10,-11,11,-11,10,-10,12,-12,12,-11,13,0,0,-10,13,-10,14,-10,15,-9,14,-11,14,-11,15,-11,15,-11,15,-10,15,-10,15,-11,17,-11,15,-11,15,-12,16,-11,16,-11,17,-12,17,-13,17,-13,16,-13,15,-15,15,-15,14,-15,14,-16,15,-17,13,-17,13,0,0,0,0,1,-1,1,-1,2,-2,2,-2,3,-3,3,-3,3,-4,4,-4,3,-5,4,-6,4,-6,4,-7,5,-7,6,-8,5,-9,5,-9,5,-9,6,-10,6,-11,7,-11,7,-12,7,-12,6,-13,7,-14,7,-16,0,0,7,-16,8,-16,7,-18,7,-17,8,-18,8,-18,8,-18,8,-18,9,-19,8,-19,8,-22,8,-20,8,-20,9,-21,9,-20,9,-22,8,-21,9,-22,10,-21,10,-21,11,-21,10,-20,10,-20,9,-21,11,-20,12,-20,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-30,-28,4294807.159,4294811.344,99.738,146.101,146.101,146.101,"[-10,18,-10,18,-9,18,-11,20,-11,19,-11,18,-12,18,-11,17,-12,17,-11,17,-12,18,-12,18,-12,18,-12,17,-13,16,-12,17,-11,16,-11,15,-12,16,-13,15,-13,15,-12,15,-13,14,-11,15,-13,15,-12,15,0,0,-12,14,-12,14,-12,15,-11,14,-12,14,-12,13,-12,12,-12,12,-12,12,-11,11,-11,12,-10,10,-9,10,-9,10,-8,9,-8,10,-8,10,-7,10,-6,10,-6,10,-6,10,-5,10,-5,11,-4,12,-6,12,-5,13,0,0,3,-13,2,-12,1,-12,1,-13,1,-13,1,-13,0,-12,-1,-13,-1,-12,-2,-12,-2,-13,-3,-13,-4,-13,-4,-12,-4,-13,-5,-13,-6,-13,-6,-13,-7,-12,-7,-13,-7,-14,-8,-13,-8,-14,-10,-13,-10,-15,-12,-15,0,0,-12,-14,-12,-15,-13,-16,-13,-15,-13,-16,-13,-17,-13,-17,-13,-17,-13,-17,-13,-17,-14,-18,-12,-18,-12,-18,-13,-18,-12,-19,-13,-19,-12,-19,-11,-19,-10,-19,-10,-19,-9,-20,-8,-18,-7,-19,-7,-18,-6,-19,-5,-18,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-29,-19,4294813.325,4294817.507,148.251,219.47,219.47,219.47,"[17,-1,18,-2,18,-3,20,-2,19,-2,19,-2,19,-2,19,-2,19,-1,19,-2,21,-2,20,-2,20,-3,19,-3,19,-2,19,-4,18,-4,18,-4,18,-5,18,-4,18,-4,18,-5,18,-4,17,-7,19,-6,18,-7,0,0,18,-7,18,-7,18,-8,18,-9,19,-7,19,-7,19,-7,19,-7,19,-7,18,-6,19,-7,18,-5,17,-5,18,-4,17,-4,17,-4,17,-3,16,-3,15,-2,14,-1,13,-1,12,0,11,0,11,-1,10,0,10,0,0,0,13,-9,13,-9,11,-10,13,-10,11,-10,12,-10,12,-10,11,-10,12,-9,10,-10,11,-11,11,-11,10,-11,10,-11,10,-11,10,-12,10,-12,10,-11,9,-12,9,-12,10,-12,9,-12,9,-12,8,-13,9,-13,9,-14,0,0,8,-14,8,-14,8,-14,7,-14,8,-14,8,-14,8,-14,8,-14,8,-15,8,-15,8,-16,8,-15,8,-16,9,-16,9,-16,10,-17,9,-16,10,-16,11,-16,11,-15,12,-16,12,-14,13,-14,13,-14,14,-14,15,-13,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-32,-26,4294804.36,4294808.321,190.514,284.572,284.572,284.572,"[8,-3,8,-3,9,-4,9,-4,9,-4,9,-4,8,-4,8,-5,8,-4,7,-5,8,-6,8,-6,7,-6,7,-7,7,-7,7,-9,6,-8,6,-9,6,-9,7,-10,7,-9,6,-10,7,-10,6,-11,8,-12,7,-12,0,0,7,-11,8,-11,8,-12,8,-12,9,-11,9,-11,10,-11,9,-10,10,-10,9,-9,9,-10,9,-9,9,-8,9,-8,9,-8,9,-7,8,-7,8,-6,8,-6,7,-5,7,-4,6,-4,6,-3,5,-4,5,-3,4,-3,0,0,4,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-5,3,-5,3,-6,3,-6,3,-5,2,-5,3,-5,2,-6,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-6,0,0,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-6,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,3,-5,2,-5,3,-5,2,-5,3,-5,3,-5,0,0]"
CSI_DATA: 6,3,2,2,1,1,1,0,-22,-20,228.199,236.782,14.526,413.70,128.498,20.278,"[-2,13,-1,13,0,13,-1,14,-1,13,-1,12,0,12,0,12,0,12,1,11,1,12,1,12,1,12,2,11,2,11,3,11,3,10,3,10,4,10,4,10,4,10,5,10,4,10,6,10,6,11,7,10,0,0,7,10,8,10,8,10,9,10,8,10,9,10,9,11,9,10,10,11,10,11,11,11,10,12,10,12,11,12,11,12,11,13,11,14,10,14,10,14,9,15,9,15,8,16,8,16,8,16,6,17,5,17,0,0,9,-11,8,-11,7,-12,8,-12,7,-12,7,-12,7,-12,7,-11,7,-12,6,-12,7,-13,6,-13,5,-13,5,-13,6,-13,5,-14,4,-13,4,-13,3,-14,4,-14,4,-14,3,-14,4,-14,2,-15,2,-15,1,-16,0,0,1,-15,1,-17,0,-17,0,-16,1,-17,0,-17,1,-17,1,-17,0,-18,0,-18,0,-19,1,-18,1,-18,1,-18,2,-19,1,-20,2,-20,3,-19,3,-19,5,-19,5,-19,5,-18,6,-19,6,-18,7,-17,7,-17,0,0]"
CSI_DATA: 7,4,2,2,1,1,1,0,-19,-33,232.869,241.452,56.545,461.929,177.357,69.137,"[-4,15,-3,16,-2,15,-3,17,-3,16,-3,16,-3,15,-2,15,-2,15,-1,14,-1,16,-1,16,-1,16,0,15,-1,15,0,15,1,15,1,14,1,15,1,15,1,15,2,15,1,14,4,14,3,16,4,16,0,0,4,15,4,15,5,16,5,15,5,16,5,17,5,17,5,16,5,17,6,16,7,17,6,17,6,17,6,18,5,17,6,19,6,19,5,19,5,19,4,19,3,20,3,19,2,20,2,20,0,20,0,20,0,0,-1,-1,-1,0,-1,1,-1,1,-1,2,-1,2,-1,3,-1,4,-1,4,-1,5,-1,6,-1,6,-1,7,-1,8,-1,8,-1,9,-1,9,-1,9,0,11,-1,11,-1,12,0,12,0,12,2,13,1,15,2,15,0,0,2,16,2,17,3,18,3,17,3,18,3,20,3,20,3,20,3,20,4,20,5,22,4,20,3,20,5,21,5,21,5,23,4,22,5,22,5,23,4,21,3,23,3,21,2,22,4,22,2,22,2,22,0,0]"
CSI_DATA: 8,6,2,2,1,1,1,0,-30,-19,236.319,244.902,161.263,560.546,275.974,167.754,"[11,14,11,14,12,13,12,16,12,15,12,15,12,15,12,15,12,16,12,15,13,16,13,16,13,16,13,15,12,16,13,14,13,13,13,13,13,13,13,14,13,14,13,13,13,12,15,11,15,13,15,12,0,0,15,12,16,12,16,12,16,11,16,13,16,13,15,13,15,13,15,13,14,12,15,13,13,13,13,13,12,14,11,12,11,13,10,13,9,12,8,11,7,11,6,11,6,10,5,9,5,8,5,7,4,7,0,0,-15,5,-15,5,-14,6,-15,5,-15,5,-15,5,-15,5,-14,5,-15,5,-13,6,-15,6,-14,7,-14,7,-13,7,-13,6,-14,8,-13,7,-13,7,-12,8,-13,8,-14,7,-12,8,-13,8,-12,9,-13,9,-13,10,0,0,-12,9,-12,10,-12,10,-12,11,-12,10,-12,11,-12,10,-12,10,-13,12,-12,12,-12,13,-12,11,-12,11,-13,11,-14,12,-14,12,-14,12,-15,12,-15,11,-16,10,-17,10,-16,10,-17,9,-17,10,-18,8,-18,7,0,0]"
CSI_DATA: 9,7,2,2,1,1,1,0,-31,-26,227.139,235.722,213.430,613.596,329.24,220.804,"[-5,10,-5,10,-3,11,-4,12,-4,12,-4,12,-4,11,-3,11,-4,11,-2,11,-2,12,-2,11,-1,12,0,12,0,12,1,12,2,12,1,13,3,13,2,14,2,14,3,15,1,14,4,15,3,16,3,16,0,0,3,17,3,17,4,17,3,17,2,17,2,18,1,18,1,17,0,17,1,16,1,16,0,15,0,15,-1,15,-2,14,-1,14,-1,14,-2,13,-2,12,-3,11,-3,10,-2,10,-2,9,-2,9,-2,7,-2,7,0,0,-4,17,-4,16,-3,16,-4,17,-4,16,-5,15,-5,15,-5,14,-5,14,-4,14,-4,15,-4,14,-3,14,-3,13,-4,13,-3,14,-2,13,-3,13,-2,13,-3,13,-3,13,-3,13,-3,13,-1,13,-2,14,-2,14,0,0,-2,13,-2,13,-2,14,-2,13,-2,13,-2,13,-3,13,-2,13,-3,13,-3,12,-2,14,-2,12,-2,12,-2,12,-3,12,-3,13,-2,13,-3,12,-3,13,-4,12,-4,12,-4,12,-3,12,-2,13,-4,12,-5,12,0,0]"
CSI_DATA: 10,3,3,3,2,2,2,0,-21,-21,618.202,625.318,17.21,801.503,187.907,18.682,"[-12,-7,-13,-7,-13,-6,-13,-7,-13,-6,-12,-6,-13,-6,-12,-5,-12,-5,-12,-5,-13,-5,-13,-4,-13,-4,-13,-3,-13,-4,-13,-2,-12,-2,-12,-2,-13,-1,-13,-1,-13,-1,-13,0,-12,-1,-13,1,-14,0,-13,1,0,0,-14,2,-14,2,-15,3,-14,3,-15,3,-15,3,-15,3,-15,4,-16,4,-15,4,-16,5,-16,4,-17,4,-18,4,-17,4,-18,4,-19,4,-19,3,-19,3,-19,2,-19,1,-19,0,-19,-1,-20,0,-19,-2,-18,-3,0,0,-9,-11,-9,-10,-10,-10,-10,-11,-10,-10,-10,-10,-10,-10,-10,-9,-10,-9,-11,-8,-12,-9,-12,-8,-12,-8,-12,-8,-11,-8,-13,-7,-12,-6,-12,-7,-13,-6,-13,-6,-13,-7,-13,-6,-13,-6,-14,-4,-15,-5,-15,-5,0,0,-15,-4,-16,-4,-16,-4,-16,-3,-16,-4,-17,-4,-16,-4,-16,-4,-17,-4,-17,-4,-18,-3,-17,-4,-17,-4,-18,-4,-18,-5,-19,-5,-19,-4,-18,-5,-18,-6,-17,-7,-18,-8,-16,-8,-17,-8,-17,-8,-16,-10,-15,-10,0,0]"
